Date,PORTUGAL SMALL VALUE
2013-02-19,528.094025732675
2013-02-20,528.006906438245
2013-02-21,526.8202741653281
2013-02-22,527.9782514029797
2013-02-25,528.5331113203985
2013-02-26,512.2995864055453
2013-02-27,515.3707410339268
2013-02-28,512.3419191799292
2013-03-01,507.24047675078174
2013-03-04,494.72958044383
2013-03-05,509.1808747778315
2013-03-06,501.78291374998486
2013-03-07,504.2032005665828
2013-03-08,509.92045639704986
2013-03-11,503.927536593966
2013-03-12,503.55141068888395
2013-03-13,503.33814407372677
2013-03-14,513.7764098769344
2013-03-15,508.4288973945948
2013-03-18,502.43444963662955
2013-03-19,495.088983327416
2013-03-20,503.2320379947202
2013-03-21,501.81660111089025
2013-03-22,499.2438658583764
2013-03-25,492.53020064009525
2013-03-26,489.4385547326352
2013-03-27,478.9372323819497
2013-03-28,479.22085727419477
2013-03-29,479.22085727419477
2013-04-01,479.22085727419477
2013-04-02,473.27054854430395
2013-04-03,454.0647667325105
2013-04-04,460.89194702797494
2013-04-05,453.4452612117902
2013-04-08,449.08262707747315
2013-04-09,459.4174808634859
2013-04-10,485.0416255007489
2013-04-11,486.39253395434656
2013-04-12,478.15178055266307
2013-04-15,475.8033938175612
2013-04-16,471.8978276351672
2013-04-17,461.68852672076446
2013-04-18,462.6855403992586
2013-04-19,476.45390181810626
2013-04-22,478.91304849248445
2013-04-23,495.82267870498174
2013-04-24,500.94392531629916
2013-04-25,507.39815973688206
2013-04-26,502.20534491764613
2013-04-29,512.8079485518128
2013-04-30,512.0666023778402
2013-05-01,512.0666023778404
2013-05-02,512.1991393728077
2013-05-03,515.9812103138094
2013-05-06,516.1983968147864
2013-05-07,523.5520683745818
2013-05-08,515.5055561287609
2013-05-09,519.5851532410234
2013-05-10,521.4638801725306
2013-05-13,511.9810630950371
2013-05-14,505.6629582241737
2013-05-15,514.2870789393157
2013-05-16,511.11898334015126
2013-05-17,513.5923414752448
2013-05-20,515.0784179220371
2013-05-21,515.7773307702754
2013-05-22,518.7046487862087
2013-05-23,507.7366711761805
2013-05-24,512.2625411733593
2013-05-27,517.3261131853619
2013-05-28,524.2305330524038
2013-05-29,520.7529761867838
2013-05-30,518.7568502385707
2013-05-31,515.6681691746348
2013-06-03,507.4950905335228
2013-06-04,509.01396680419856
2013-06-05,505.5416078999766
2013-06-06,496.1421411589475
2013-06-07,501.8981116783183
2013-06-10,496.3667829048527
2013-06-11,495.3938935099079
2013-06-12,495.3553279169026
2013-06-13,488.0708812804405
2013-06-14,491.0976677408637
2013-06-17,501.61197357996457
2013-06-18,504.9262025060229
2013-06-19,504.62729950620184
2013-06-20,484.89257402260426
2013-06-21,468.9791976783041
2013-06-24,449.61975749157034
2013-06-25,468.3842845124313
2013-06-26,483.33984945839404
2013-06-27,485.63097160710856
2013-06-28,488.0289104273702
2013-07-01,498.2119383114948
2013-07-02,485.09814466782035
2013-07-03,447.6850754184092
2013-07-04,473.0889771473465
2013-07-05,468.0803134662628
2013-07-08,489.6807135951161
2013-07-09,488.14861017480206
2013-07-10,489.6575260788281
2013-07-11,470.7507859203538
2013-07-12,473.20111122237086
2013-07-15,474.30865085864787
2013-07-16,475.7209172078454
2013-07-17,483.09798696949724
2013-07-18,500.8667687267764
2013-07-19,493.66472978564855
2013-07-22,514.8121494565305
2013-07-23,508.013339994397
2013-07-24,516.1359239663198
2013-07-25,515.5296192144281
2013-07-26,515.4474357284847
2013-07-29,512.6530672587858
2013-07-30,517.7147527413398
2013-07-31,513.7415367363358
2013-08-01,517.7261879869213
2013-08-02,517.6551505880776
2013-08-05,516.9010525101428
2013-08-06,513.6325833574415
2013-08-07,510.38985839678736
2013-08-08,525.8554487247858
2013-08-09,535.5780299149736
2013-08-12,535.9318957574037
2013-08-13,544.8557431461626
2013-08-14,550.9434450166434
2013-08-15,548.2040865381256
2013-08-16,546.7601084733118
2013-08-19,538.5752585333205
2013-08-20,527.3809624224107
2013-08-21,530.0455367419014
2013-08-22,535.9652241153367
2013-08-23,539.1338209220758
2013-08-26,530.9192859602608
2013-08-27,523.1325598269652
2013-08-28,517.9757998778874
2013-08-29,524.4201005739696
2013-08-30,516.8339637879451
2013-09-02,524.7303154018155
2013-09-03,521.4074073014888
2013-09-04,527.4014608597876
2013-09-05,527.3754389386917
2013-09-06,527.5834030049315
2013-09-09,527.1604077875388
2013-09-10,534.882372422054
2013-09-11,534.9000805963424
2013-09-12,534.287962892847
2013-09-13,534.1972388534102
