Date,SOUTH AFRICA IMI VALUE
2001-05-24,347.71896545514943
2001-05-25,345.11142169327223
2001-05-28,347.80526683446095
2001-05-29,347.2980677575936
2001-05-30,347.3172614582045
2001-05-31,350.9627325567189
2001-06-01,346.69944898850986
2001-06-04,348.0153176182125
2001-06-05,348.1137184148485
2001-06-06,344.91253260137904
2001-06-07,342.51414974705517
2001-06-08,342.4640448164075
2001-06-11,345.91538082980406
2001-06-12,342.38325788144175
2001-06-13,343.3845323490033
2001-06-14,338.6400266011453
2001-06-15,334.6189939360055
2001-06-18,333.9654165528028
2001-06-19,340.1481346252973
2001-06-20,338.1464865469577
2001-06-21,340.3583119351112
2001-06-22,339.6688601600926
2001-06-25,341.93866252512817
2001-06-26,338.78653536445876
2001-06-27,339.5582274997258
2001-06-28,343.768661475169
2001-06-29,344.848098408358
2001-07-02,349.5666786696966
2001-07-03,346.4747100824302
2001-07-04,341.4946337119213
2001-07-05,338.3845206430188
2001-07-06,333.0829406697682
2001-07-09,329.8284854452682
2001-07-10,327.8931498865768
2001-07-11,324.7455820871118
2001-07-12,331.7827046012295
2001-07-13,335.26089883925647
2001-07-16,335.46238460707826
2001-07-17,328.72783941784445
2001-07-18,317.276754041249
2001-07-19,319.33562250985835
2001-07-20,314.54736373490675
2001-07-23,317.7740703111795
2001-07-24,312.9236292255907
2001-07-25,305.2342162647585
2001-07-26,308.1433358263017
2001-07-27,311.20215215767604
2001-07-30,311.4463071575646
2001-07-31,310.85814124116143
2001-08-01,315.28756467848
2001-08-02,321.37248830517234
2001-08-03,316.2143909659772
2001-08-06,314.9942406725599
2001-08-07,311.26587255344003
2001-08-08,306.8258368208903
2001-08-09,303.4364945776654
2001-08-10,301.11255080438053
2001-08-13,300.4985934014522
2001-08-14,303.1149798792765
2001-08-15,301.10964865566245
2001-08-16,302.30772179055396
2001-08-17,299.0320702824844
2001-08-20,297.9669599135145
2001-08-21,296.50713103216896
2001-08-22,299.88551855354046
2001-08-23,304.9002561243476
2001-08-24,308.7625504055107
2001-08-27,314.3387109440679
2001-08-28,314.90205668058877
2001-08-29,315.105216455453
2001-08-30,311.95434863424845
2001-08-31,311.4667466921041
2001-09-03,307.03146803932066
2001-09-04,313.0343633134459
2001-09-05,315.0347714616128
2001-09-06,310.80742025695173
2001-09-07,302.96129243069277
2001-09-10,300.48294027710773
2001-09-11,287.4786464670158
2001-09-12,275.25380515882324
2001-09-13,280.76669917181067
2001-09-14,271.26822320729065
2001-09-17,263.6475136827541
2001-09-18,261.54834675359075
2001-09-19,261.6256264182832
2001-09-20,249.50442483885735
2001-09-21,240.87738973145304
2001-09-24,241.65230449797576
2001-09-25,255.0023336011738
2001-09-26,257.52955586153354
2001-09-27,256.5743110938606
2001-09-28,265.39461987334056
2001-10-01,264.0471769105854
2001-10-02,260.36904780823016
2001-10-03,257.2823690817792
2001-10-04,269.8999317969896
2001-10-05,267.4802518503543
2001-10-08,268.0604193172698
2001-10-09,265.2798362435004
2001-10-10,266.9547504077623
2001-10-11,277.6369465097995
2001-10-12,276.1540745260299
2001-10-15,276.20892903995
2001-10-16,275.2411830836018
2001-10-17,275.01041848277214
2001-10-18,273.0101486084705
2001-10-19,274.570182383228
2001-10-22,271.97874704176604
2001-10-23,274.7512908405819
2001-10-24,275.98137491573397
2001-10-25,275.3119857305407
2001-10-26,276.6614837661035
2001-10-29,275.80120865445355
2001-10-30,268.0613191962355
2001-10-31,271.11670752929047
2001-11-01,270.56039836318524
2001-11-02,274.1743366279083
2001-11-05,278.95137394898603
2001-11-06,274.88877058136416
2001-11-07,273.31889245876323
2001-11-08,274.86540248120696
2001-11-09,274.3579312111529
2001-11-12,274.79423539375966
2001-11-13,283.8176583723128
2001-11-14,291.6851964077484
2001-11-15,299.5409111580161
2001-11-16,291.9459315346374
2001-11-19,295.14927752587863
2001-11-20,295.5543218513664
2001-11-21,295.4028803609008
2001-11-22,291.01525944374396
2001-11-23,292.24340526283305
2001-11-26,295.27296338400424
2001-11-27,292.18979705426614
2001-11-28,292.7756080022367
2001-11-29,284.0758727230258
2001-11-30,284.389488071402
2001-12-03,286.0278455297888
2001-12-04,283.91566593813445
2001-12-05,283.4633215149073
2001-12-06,285.8421187439234
2001-12-07,280.21185721061715
2001-12-10,287.10664273826995
2001-12-11,278.51209085893885
2001-12-12,272.1866540330857
2001-12-13,264.0750920658916
2001-12-14,260.2166088921592
2001-12-17,267.89613584869534
2001-12-18,262.8592024986346
2001-12-19,256.89283310578503
2001-12-20,247.11085539036335
2001-12-21,263.5234641841061
2001-12-24,272.23111892313193
2001-12-25,272.23111892313193
2001-12-26,273.3673475888056
2001-12-27,273.8245382857478
2001-12-28,274.76533578637844
2001-12-31,273.0874115691011
2002-01-01,273.0874115691011
2002-01-02,267.3186698368528
2002-01-03,267.9132950655511
2002-01-04,276.10428544895404
2002-01-07,283.6038416740436
2002-01-08,288.1634492110475
2002-01-09,291.61735945828593
2002-01-10,288.84396126954096
2002-01-11,294.80390781860916
2002-01-14,288.5026079974667
2002-01-15,283.2611628453918
2002-01-16,282.5854197854376
2002-01-17,285.8079887237525
2002-01-18,283.5162489605949
2002-01-21,279.91076391823077
2002-01-22,278.05144104468286
2002-01-23,282.68683986961355
2002-01-24,285.8101589368859
2002-01-25,285.38778172687387
2002-01-28,286.0164401090308
2002-01-29,287.28875518593924
2002-01-30,283.64375144537576
2002-01-31,288.00910212528134
2002-02-01,287.452557562857
2002-02-04,285.1655958721678
2002-02-05,284.6191188334605
2002-02-06,290.61697750026815
2002-02-07,291.23110179215945
2002-02-08,290.5373523335599
2002-02-11,286.75761333147346
2002-02-12,291.5909445577706
2002-02-13,292.218870631145
2002-02-14,297.4036476609554
2002-02-15,298.6943942559525
2002-02-18,298.32630147028834
2002-02-19,294.03431478002307
2002-02-20,293.4750935515046
2002-02-21,287.6400171766369
2002-02-22,286.48872007638437
2002-02-25,292.37458901094703
2002-02-26,295.84960359290534
2002-02-27,300.6160380164885
2002-02-28,295.02399453802985
2002-03-01,297.0334421495822
2002-03-04,308.9795445464534
2002-03-05,310.7339296965892
2002-03-06,307.7821098014986
2002-03-07,299.24064947086595
2002-03-08,297.1581959864941
2002-03-11,302.9507462511303
2002-03-12,299.3379225473118
2002-03-13,298.0329693853434
2002-03-14,296.3892721106106
2002-03-15,293.04293497631204
2002-03-18,293.47502053038124
2002-03-19,296.2321837186632
2002-03-20,294.82311589602466
2002-03-21,299.8282486425123
2002-03-22,299.0064563674223
2002-03-25,295.9401928582138
2002-03-26,296.31497893622935
2002-03-27,297.70288164316696
2002-03-28,298.9082433440593
2002-03-29,298.9082433440593
2002-04-01,296.60886355959144
2002-04-02,307.1973043691227
2002-04-03,311.7963230567434
2002-04-04,312.7310804422396
2002-04-05,319.4056210174752
2002-04-08,316.36489407031576
2002-04-09,314.84605737810307
2002-04-10,316.19512435942926
2002-04-11,312.65698023513573
2002-04-12,314.9226865929612
2002-04-15,317.33164391507347
2002-04-16,319.9793235911463
2002-04-17,320.80999167268857
2002-04-18,319.4911088411347
2002-04-19,321.7539721374791
2002-04-22,322.7922951848565
2002-04-23,324.2943006748653
2002-04-24,321.4952693525245
2002-04-25,321.7387837136993
2002-04-26,324.22192207965503
2002-04-29,324.6414355162343
2002-04-30,324.9749617072557
2002-05-01,324.7846736975816
2002-05-02,324.49733802206845
2002-05-03,326.4693231167498
2002-05-06,329.20172807340305
2002-05-07,337.67600985013434
2002-05-08,344.1557020013927
2002-05-09,344.0711003807492
2002-05-10,345.07285624679866
2002-05-13,346.5592131528043
2002-05-14,352.67733829333235
2002-05-15,345.3726666051554
2002-05-16,345.7156753067674
2002-05-17,342.8169215817822
2002-05-20,341.5176567525553
2002-05-21,342.68615136388485
2002-05-22,339.38496819965906
2002-05-23,337.47653991581245
2002-05-24,343.8342848864888
2002-05-27,343.20958136438827
2002-05-28,341.2797404248843
2002-05-29,342.5587951210392
2002-05-30,339.5197949715687
2002-05-31,339.6683933568338
2002-06-03,342.996958550422
2002-06-04,343.6154374970146
2002-06-05,338.3144548149013
2002-06-06,336.05152292913033
2002-06-07,332.5810558967807
2002-06-10,329.75744343105737
2002-06-11,327.8815096730003
2002-06-12,322.115220733176
2002-06-13,314.98185363941946
2002-06-14,305.6616795898938
2002-06-17,303.2365407266545
2002-06-18,312.7743414722192
2002-06-19,307.10298488934654
2002-06-20,302.38227669535445
2002-06-21,299.4479706424232
2002-06-24,294.65738280011027
2002-06-25,295.53608205046544
2002-06-26,281.17110379852267
2002-06-27,286.2439600297256
2002-06-28,290.96558441756406
2002-07-01,298.44967788580067
2002-07-02,293.5006112564408
2002-07-03,288.3241699378739
2002-07-04,290.24147546155154
2002-07-05,300.04831108450924
2002-07-08,294.849306562296
2002-07-09,293.9412726057469
2002-07-10,290.1790067790467
2002-07-11,282.1604439617991
2002-07-12,287.7472884463536
2002-07-15,280.00861806125624
2002-07-16,278.2206924554266
2002-07-17,280.600089581558
2002-07-18,288.21396107181465
2002-07-19,281.8170808975438
2002-07-22,273.7363125201345
2002-07-23,270.0027157405737
2002-07-24,260.9067749070582
