Date,KOKUSAI INDEX (WORLD ex JP) IMI GROWTH
2019-01-31,2357.1189745427223
2019-02-01,2359.279086580181
2019-02-04,2385.4903264948116
2019-02-05,2409.8512609198656
2019-02-06,2407.8872372966443
2019-02-07,2387.299255949305
2019-02-08,2391.449321019695
2019-02-11,2406.1949982751335
2019-02-12,2429.892071051746
2019-02-13,2440.639622193814
2019-02-14,2443.6863873640928
2019-02-15,2467.361428161888
2019-02-18,2463.449136347204
2019-02-19,2459.0938322650745
2019-02-20,2463.2688650913715
2019-02-21,2457.0253391617307
2019-02-22,2475.711917335881
2019-02-25,2479.371558686461
2019-02-26,2477.396018261296
2019-02-27,2471.1137732551656
2019-02-28,2465.373162399737
2019-03-01,2484.934237393077
2019-03-04,2488.0078483067996
2019-03-05,2489.799626361663
2019-03-06,2473.0098195459336
2019-03-07,2470.3379105436798
2019-03-08,2461.0868644709412
2019-03-11,2496.391207003779
2019-03-12,2494.943526610406
2019-03-13,2504.667856810667
2019-03-14,2508.6059388550816
2019-03-15,2517.573198487807
2019-03-18,2523.54076464632
2019-03-19,2528.2319228059064
2019-03-20,2523.5199325974118
2019-03-21,2547.1498262644286
2019-03-22,2511.9961432106584
2019-03-25,2502.024540076826
2019-03-26,2525.4832488767006
2019-03-27,2518.779951991355
2019-03-28,2533.641870637205
2019-03-29,2554.1272501141575
2019-04-01,2583.788123785634
2019-04-02,2594.4766736841902
2019-04-03,2602.1218484972214
2019-04-04,2602.243801613713
2019-04-05,2612.305413156619
2019-04-08,2607.6652709597533
2019-04-09,2593.7040306569106
2019-04-10,2609.162743402135
2019-04-11,2603.6383607344437
2019-04-12,2608.7054934922103
2019-04-15,2611.0210719002043
2019-04-16,2611.5800547504796
2019-04-17,2603.6031138996473
2019-04-18,2621.08236535859
2019-04-19,2621.08236535859
2019-04-22,2622.4914032578745
2019-04-23,2658.681704605749
2019-04-24,2658.860199318776
2019-04-25,2670.5317530296265
2019-04-26,2680.4298698258544
2019-04-29,2682.818793284238
2019-04-30,2668.340065313367
2019-05-01,2649.046043977673
2019-05-02,2652.76465831367
2019-05-03,2677.661581457351
2019-05-06,2662.2960819963882
2019-05-07,2622.0529714260933
2019-05-08,2621.9433966178767
2019-05-09,2600.2951157022776
2019-05-10,2605.2522945543856
2019-05-13,2543.781932836552
2019-05-14,2572.153745659482
2019-05-15,2594.496502840636
2019-05-16,2628.1294489739466
2019-05-17,2615.0425155972653
2019-05-20,2590.4194360398196
2019-05-21,2609.2580281273777
2019-05-22,2610.6934708174977
2019-05-23,2575.503833693138
2019-05-24,2572.6750705338172
2019-05-27,2576.8495172702087
2019-05-28,2573.2730047082346
2019-05-29,2551.9593624340273
2019-05-30,2565.7284645611644
2019-05-31,2535.5060745122664
2019-06-03,2504.59165660881
2019-06-04,2543.223209172698
2019-06-05,2561.7022125369917
2019-06-06,2569.717917050808
2019-06-07,2594.5049366089993
2019-06-10,2612.4779829815143
2019-06-11,2615.085015549573
2019-06-12,2610.7387734022045
2019-06-13,2627.4715808245396
2019-06-14,2627.1262566182922
2019-06-17,2634.5419686229693
2019-06-18,2674.8226256426574
2019-06-19,2679.8129594305005
2019-06-20,2690.7379059849095
2019-06-21,2676.056517949094
2019-06-24,2658.164847826606
2019-06-25,2634.7009700675317
2019-06-26,2633.0485648625295
2019-06-27,2647.549570182017
2019-06-28,2659.403994747224
2019-07-01,2690.654173343497
2019-07-02,2705.5799089322563
2019-07-03,2730.401315233148
2019-07-04,2730.6082909554593
2019-07-05,2732.9565904679007
2019-07-08,2721.03550520704
2019-07-09,2726.035454450097
2019-07-10,2727.7406354054206
2019-07-11,2732.669115103591
2019-07-12,2743.751851979836
2019-07-15,2746.1052517413864
2019-07-16,2748.8086093839465
2019-07-17,2737.744124671952
2019-07-18,2740.6826783110923
2019-07-19,2730.1937061030403
2019-07-22,2740.171843655391
2019-07-23,2769.333544952031
2019-07-24,2785.656618381684
2019-07-25,2765.458912859522
2019-07-26,2792.532009941089
2019-07-29,2783.239699322092
2019-07-30,2769.438968439166
2019-07-31,2751.062840418528
2019-08-01,2755.086853453049
2019-08-02,2709.6978605291656
2019-08-05,2615.735622058697
2019-08-06,2639.0344689293806
2019-08-07,2644.5556283776496
2019-08-08,2701.4611668767166
2019-08-09,2681.358159743717
2019-08-12,2653.0277983597894
2019-08-13,2690.9240866298596
2019-08-14,2630.5972823648003
2019-08-15,2641.8113338306703
2019-08-16,2678.0877633830787
2019-08-19,2711.1792255388114
2019-08-20,2699.4371800510244
2019-08-21,2727.019134807747
2019-08-22,2719.272791995004
2019-08-23,2659.772748201937
2019-08-26,2677.284377065017
2019-08-27,2679.497920409524
2019-08-28,2691.8995069051794
2019-08-29,2729.1196656827187
2019-08-30,2744.187775132107
2019-09-02,2754.531708783621
2019-09-03,2733.905099956287
2019-09-04,2748.9721854947697
2019-09-05,2780.398054305759
2019-09-06,2782.077578120278
2019-09-09,2762.0619609754135
2019-09-10,2752.1191529197004
2019-09-11,2782.9145864803654
2019-09-12,2786.3439035123147
2019-09-13,2772.25307040082
2019-09-16,2779.676768771248
2019-09-17,2781.124298306942
2019-09-18,2777.42678033836
2019-09-19,2782.503215055713
2019-09-20,2777.0815620132034
2019-09-23,2774.599480303863
2019-09-24,2755.0843473942077
2019-09-25,2771.177799767137
2019-09-26,2772.7881356718144
2019-09-27,2753.7389681612435
2019-09-30,2777.0261507147648
2019-10-01,2743.161925409478
2019-10-02,2687.863935905281
2019-10-03,2700.3443820634266
2019-10-04,2733.921460135969
2019-10-07,2729.3109964720807
2019-10-08,2698.898820262947
2019-10-09,2717.6542007743396
2019-10-10,2724.4437825178843
2019-10-11,2756.1215914257787
2019-10-14,2754.545108079296
2019-10-15,2779.150731513029
2019-10-16,2769.542321032457
2019-10-17,2765.24413145566
2019-10-18,2742.9319422145936
2019-10-21,2756.0279880881203
2019-10-22,2743.2531629905834
2019-10-23,2748.5640053622246
2019-10-24,2770.7919913340415
2019-10-25,2784.957005974973
2019-10-28,2802.561951126617
2019-10-29,2791.6617433272204
2019-10-30,2801.9660327167294
2019-10-31,2788.9478848833483
2019-11-01,2813.0275891646775
2019-11-04,2826.233333988423
2019-11-05,2836.831176715994
2019-11-06,2837.856147280998
2019-11-07,2853.8088449568454
2019-11-08,2863.4477041189502
2019-11-11,2860.203966952694
