Date,EASEA INDEX (EAFE ex JAPAN) IMI VALUE
2021-01-08,1053.4991970856947
2021-01-11,1036.7622769641582
2021-01-12,1041.400126495874
2021-01-13,1042.4860345231452
2021-01-14,1049.0231944149389
2021-01-15,1036.408930516336
2021-01-18,1033.7286676154602
2021-01-19,1037.5629722011083
2021-01-20,1041.841004268333
2021-01-21,1043.7052441714375
2021-01-22,1036.1933626753807
2021-01-25,1021.0740170433622
2021-01-26,1030.1086025115092
2021-01-27,1014.1361469127937
2021-01-28,1013.9333157283062
2021-01-29,998.6312151660371
2021-02-01,1001.1086413057944
2021-02-02,1009.3560580746421
2021-02-03,1015.1148307699069
2021-02-04,1016.339829868435
2021-02-05,1024.448470161725
2021-02-08,1030.4946988601848
2021-02-09,1031.1986100723723
2021-02-10,1034.9947381549457
2021-02-11,1034.797750922082
2021-02-12,1037.085762651469
2021-02-15,1056.459105340868
2021-02-16,1057.3088448307456
2021-02-17,1047.313845166765
2021-02-18,1041.4302085847773
2021-02-19,1051.9929138585926
2021-02-22,1055.1101443627954
2021-02-23,1061.337047735136
2021-02-24,1066.1383926132376
2021-02-25,1075.4860519305203
2021-02-26,1045.2940440816637
2021-03-01,1057.0112295002064
2021-03-02,1060.703285508257
2021-03-03,1070.5546624335607
2021-03-04,1070.5031696990384
2021-03-05,1056.2378169658737
2021-03-08,1073.611832632502
2021-03-09,1078.373722392398
2021-03-10,1080.6124767589529
2021-03-11,1087.2450481152632
2021-03-12,1087.8132520653871
2021-03-15,1083.7545158786438
2021-03-16,1088.529260818395
2021-03-17,1086.7530962565772
2021-03-18,1096.1100976122366
2021-03-19,1084.230708575284
2021-03-22,1083.847494030804
2021-03-23,1075.773938471911
2021-03-24,1073.2588285802763
2021-03-25,1067.989947952377
2021-03-26,1079.964483246371
2021-03-29,1079.2226582576138
2021-03-30,1084.2511392273864
2021-03-31,1081.1833628618529
2021-04-01,1085.6641992023553
2021-04-02,1085.6641992023553
2021-04-05,1090.4337483458257
2021-04-06,1099.9659631765203
2021-04-07,1105.8611185650166
2021-04-08,1107.2777767898885
2021-04-09,1104.2686295812166
2021-04-12,1102.7609945167742
2021-04-13,1102.2582056633187
2021-04-14,1109.7332211006508
2021-04-15,1113.940683429202
2021-04-16,1123.9224473982792
2021-04-19,1130.152632748539
2021-04-20,1110.8448562589665
2021-04-21,1109.9029660318422
2021-04-22,1113.1382936497537
2021-04-23,1114.5281010828203
2021-04-26,1124.7663690600875
2021-04-27,1122.927940267234
2021-04-28,1127.845701666573
2021-04-29,1128.4679374181198
2021-04-30,1118.3260514450867
2021-05-03,1127.2605284930662
2021-05-04,1115.5471789129929
2021-05-05,1131.8772451445425
2021-05-06,1140.0058047600653
2021-05-07,1154.8471827578296
2021-05-10,1167.1653556478175
2021-05-11,1144.9166614121632
2021-05-12,1142.7695467337203
2021-05-13,1137.022988699805
2021-05-14,1153.7773781322596
2021-05-17,1154.6831567080771
2021-05-18,1163.6621554662079
2021-05-19,1142.9227018347847
2021-05-20,1152.987460794792
2021-05-21,1155.1066743113734
2021-05-24,1158.2066162078622
2021-05-25,1158.2393440678622
2021-05-26,1155.8394605086776
2021-05-27,1159.2968902950734
2021-05-28,1163.0805930128356
2021-05-31,1160.746826737408
2021-06-01,1171.78822829151
2021-06-02,1174.9707416339768
2021-06-03,1168.745030538326
2021-06-04,1173.1044967099147
2021-06-07,1177.575429333191
2021-06-08,1176.292175275468
2021-06-09,1173.0221698718658
2021-06-10,1173.405413222447
2021-06-11,1173.8781895897575
2021-06-14,1177.6417643044103
2021-06-15,1177.6866483925023
2021-06-16,1176.7464988011461
2021-06-17,1157.5190490856357
2021-06-18,1129.6454786159045
2021-06-21,1137.7957873878433
2021-06-22,1141.0898354946075
2021-06-23,1140.4448826272217
2021-06-24,1143.9758112470392
2021-06-25,1149.5546557660625
2021-06-28,1136.9042427839877
2021-06-29,1135.7805031695345
2021-06-30,1125.7552163839987
2021-07-01,1133.4376936622814
2021-07-02,1132.6664328930842
2021-07-05,1141.601611691645
2021-07-06,1127.135276600351
2021-07-07,1129.2398699573732
2021-07-08,1115.3366162127309
2021-07-09,1132.089348668381
2021-07-12,1139.195383990438
2021-07-13,1133.400442255175
2021-07-14,1131.5329691523434
2021-07-15,1121.5972639736053
2021-07-16,1115.7123500534258
2021-07-19,1083.4691191677402
2021-07-20,1085.640001313602
2021-07-21,1107.3197915651076
2021-07-22,1113.9268767168076
2021-07-23,1118.8517751742056
2021-07-26,1128.0857277738867
2021-07-27,1126.151999867538
2021-07-28,1125.8469636935602
