Date,ACWI SMALL CAP
2006-11-17,844.0167365748617
2006-11-20,841.2781233152598
2006-11-21,845.3526981833752
2006-11-22,853.2185315591254
2006-11-23,854.1217960528929
2006-11-24,855.9933841012082
2006-11-27,846.2204353088205
2006-11-28,845.8562652565676
2006-11-29,857.0995984800506
2006-11-30,863.5482811102239
2006-12-01,864.4882413395137
2006-12-04,871.8559563601467
2006-12-05,874.1467280329978
2006-12-06,876.0290700526398
2006-12-07,874.9485831198026
2006-12-08,875.034012688149
2006-12-11,873.5856203474882
2006-12-12,870.9231831856337
2006-12-13,872.6473543874389
2006-12-14,877.2729945806941
2006-12-15,876.6579049177257
2006-12-18,871.9887110353287
2006-12-19,870.8484323094827
2006-12-20,875.8278335821304
2006-12-21,872.9768299816645
2006-12-22,871.6074326631893
2006-12-25,870.9844177000408
2006-12-26,874.0398385466332
2006-12-27,880.9161143812415
2006-12-28,880.9759143035378
2006-12-29,879.4424903768887
2007-01-01,879.4805688334006
2007-01-02,884.6550271315373
2007-01-03,881.1602648244926
2007-01-04,877.303185149907
2007-01-05,867.9395965411178
2007-01-08,868.8816457839421
2007-01-09,870.7379719956987
2007-01-10,866.9801564926161
2007-01-11,872.8169614356071
2007-01-12,880.6857054405776
2007-01-15,885.5778883153481
2007-01-16,884.1277450419947
2007-01-17,885.181686319857
2007-01-18,881.8251030140518
2007-01-19,886.3587985094589
2007-01-22,885.1941919848774
2007-01-23,889.9501829631663
2007-01-24,895.3480891433052
2007-01-25,890.1123174230032
2007-01-26,888.3724884815781
2007-01-29,890.8792291784738
2007-01-30,894.7654054979844
2007-01-31,897.169981502321
2007-02-01,906.8201567668624
2007-02-02,909.1189463509006
2007-02-05,909.1151125961374
2007-02-06,913.8602150335588
2007-02-07,917.8146727680784
2007-02-08,915.9742107566088
2007-02-09,913.3788953130124
2007-02-12,909.3240642285318
2007-02-13,915.3482484033063
2007-02-14,923.5896069574418
2007-02-15,927.7379078670863
2007-02-16,928.6374483181146
2007-02-19,930.9303948629687
2007-02-20,933.4271313594123
2007-02-21,933.7103553764797
2007-02-22,936.611294185226
2007-02-23,938.3195712620346
2007-02-26,939.588231645238
