Date,EUROPE & MIDDLE EAST IMI VALUE
2014-05-02,1550.8226522819161
2014-05-05,1548.4612905203314
2014-05-06,1544.680873812715
2014-05-07,1547.249053004155
2014-05-08,1565.860764689689
2014-05-09,1560.7320996359826
2014-05-12,1571.7117217992964
2014-05-13,1574.624320154915
2014-05-14,1574.3451585782711
2014-05-15,1560.0163255970842
2014-05-16,1562.271723730074
2014-05-19,1558.9237840317846
2014-05-20,1556.4313300963715
2014-05-21,1566.6449572915483
2014-05-22,1567.4847038649727
2014-05-23,1574.0340022816688
2014-05-26,1583.5306173173196
2014-05-27,1585.86025247964
2014-05-28,1585.1757903923583
2014-05-29,1585.696433560778
2014-05-30,1582.5056986267775
2014-06-02,1588.3482696199956
2014-06-03,1581.2814008172707
2014-06-04,1579.725421172232
2014-06-05,1586.8470018436146
2014-06-06,1601.3532532652462
2014-06-09,1608.3895738356168
2014-06-10,1609.4823625194726
2014-06-11,1602.1138820583537
2014-06-12,1602.8957972666649
2014-06-13,1602.1378373671478
2014-06-16,1593.8096117995285
2014-06-17,1595.8264147438738
2014-06-18,1598.3612526650047
2014-06-19,1607.8978066266618
2014-06-20,1605.6330640658484
2014-06-23,1600.4532467402169
2014-06-24,1596.582241777934
2014-06-25,1579.7478481302617
2014-06-26,1578.600480437827
2014-06-27,1578.3552631438752
2014-06-30,1577.1194677671842
2014-07-01,1591.747790766078
2014-07-02,1596.217020932619
2014-07-03,1609.1426542419
2014-07-04,1605.8114422588444
2014-07-07,1590.9741520521702
2014-07-08,1569.1888373479806
2014-07-09,1569.6320831867438
2014-07-10,1552.0775972819824
2014-07-11,1555.5318810047052
2014-07-14,1568.515543118384
2014-07-15,1564.135206341896
2014-07-16,1587.851484785391
2014-07-17,1570.055389526098
2014-07-18,1569.7888295610258
2014-07-21,1562.367657163932
2014-07-22,1583.053575159735
2014-07-23,1586.5879847321755
2014-07-24,1593.6929600966585
2014-07-25,1585.8191345914558
2014-07-28,1583.2123900780764
2014-07-29,1588.9192373418728
2014-07-30,1578.3457983930468
2014-07-31,1561.5103013735104
2014-08-01,1540.7624196155675
