Date,UNITED KINGDOM IMI VALUE
2021-02-18,978.372084974392
2021-02-19,988.7358873781025
2021-02-22,992.6213925508375
2021-02-23,1002.8541404834931
2021-02-24,1009.9183153374605
2021-02-25,1014.1499434464115
2021-02-26,977.9405143755687
2021-03-01,990.1445476964816
2021-03-02,996.0185450143591
2021-03-03,1010.703765102738
2021-03-04,1009.3746320344134
2021-03-05,999.3589340755956
2021-03-08,1014.1632448492243
2021-03-09,1017.2372902622374
2021-03-10,1016.0423844064862
2021-03-11,1023.7051350700197
2021-03-12,1024.0339440818009
2021-03-15,1017.6289321890638
2021-03-16,1027.0901512814942
2021-03-17,1021.3438063666471
2021-03-18,1030.1766909723278
2021-03-19,1014.7299669547863
2021-03-22,1012.5906992017833
2021-03-23,1005.4156150092022
2021-03-24,1004.3182060610225
2021-03-25,998.2463588882675
2021-03-26,1014.0997956623886
2021-03-29,1010.5792458524419
2021-03-30,1015.1458994157358
2021-03-31,1011.3595546438135
2021-04-01,1014.9051089768685
2021-04-02,1014.9051089768685
2021-04-05,1020.2289365147321
2021-04-06,1031.023452886152
2021-04-07,1037.6139250608774
2021-04-08,1038.79862100095
2021-04-09,1033.0335412508798
2021-04-12,1030.209113183738
2021-04-13,1028.7828998248342
2021-04-14,1039.3277181769115
2021-04-15,1046.503048016994
2021-04-16,1054.2261173030859
2021-04-19,1065.296587287679
2021-04-20,1037.2362104103986
2021-04-21,1038.7647078542414
2021-04-22,1037.062625318644
2021-04-23,1037.455225316811
2021-04-26,1048.8036161399236
2021-04-27,1047.9048667354273
2021-04-28,1051.944656864914
2021-04-29,1056.1259098034488
2021-04-30,1049.1025761374433
2021-05-03,1055.315888133635
2021-05-04,1047.1120211859084
2021-05-05,1066.2384763321256
2021-05-06,1074.2010237097563
2021-05-07,1088.966767080681
2021-05-10,1105.8430783568172
2021-05-11,1079.2273954650148
2021-05-12,1084.5517933410815
2021-05-13,1071.2132255202039
2021-05-14,1086.7916936093386
2021-05-17,1087.7047460450742
2021-05-18,1093.3697714536765
2021-05-19,1074.1761673359326
2021-05-20,1082.7039212344027
