Date,EUROPE VALUE WEIGHTED
2001-07-16,895.9781672803273
2001-07-17,889.4539079565654
2001-07-18,877.6843786357755
2001-07-19,888.9933924546297
2001-07-20,883.4466171663731
2001-07-23,887.133287304738
2001-07-24,874.0513672124536
2001-07-25,861.5606855291572
2001-07-26,867.2766053972892
2001-07-27,882.0107750941929
2001-07-30,890.0948608424898
2001-07-31,899.5019125515206
2001-08-01,901.553472386011
2001-08-02,901.3370659108231
2001-08-03,894.3205010083437
2001-08-06,894.5839541505455
2001-08-07,897.0221159249141
2001-08-08,887.9018490392897
2001-08-09,872.0337514177933
2001-08-10,865.6755816027409
2001-08-13,869.1610189935698
2001-08-14,879.5587910169033
2001-08-15,874.1936552921287
2001-08-16,866.1964296597506
2001-08-17,852.4452710607528
2001-08-20,853.1471498853971
2001-08-21,860.8573038715659
2001-08-22,859.1609154545713
2001-08-23,861.832826744779
2001-08-24,874.1669858790871
2001-08-27,875.6968971049122
2001-08-28,867.0454919385813
2001-08-29,865.8864324161195
2001-08-30,850.6684241960269
2001-08-31,852.1295370613419
2001-09-03,843.4363753617922
2001-09-04,856.3598420429155
2001-09-05,846.929546865142
2001-09-06,828.9684824412531
2001-09-07,807.2163745292783
2001-09-10,798.4781513598645
2001-09-11,749.3909577210641
2001-09-12,757.2272339661838
2001-09-13,764.1234290029528
2001-09-14,725.7206402149403
2001-09-17,741.7347617685268
2001-09-18,732.5549138167165
2001-09-19,713.6089987177905
2001-09-20,682.7601223438787
2001-09-21,665.7758091201986
2001-09-24,699.7922789697099
2001-09-25,706.9913082581461
2001-09-26,717.6654866469453
2001-09-27,726.0737042639124
2001-09-28,748.5335356934703
2001-10-01,735.1391270606005
2001-10-02,740.5589669131749
2001-10-03,743.3413047406269
2001-10-04,768.7432105198285
2001-10-05,763.5959616773163
2001-10-08,762.001821356897
2001-10-09,760.2232447116813
2001-10-10,776.6296927074687
2001-10-11,788.0502444555572
2001-10-12,784.0199784027491
2001-10-15,767.882066727619
2001-10-16,774.430403598783
2001-10-17,790.0338192506775
2001-10-18,779.6591177599136
2001-10-19,767.2981752540002
2001-10-22,777.5747171299909
2001-10-23,796.8403036384593
2001-10-24,799.5889811056327
2001-10-25,785.4872529440019
2001-10-26,803.9170903116627
2001-10-29,787.8935088207629
2001-10-30,768.7133203850709
2001-10-31,779.98333751063
2001-11-01,783.403617504784
2001-11-02,786.1616158203792
2001-11-05,804.1415511904622
2001-11-06,803.5892525064583
2001-11-07,811.4778016492263
2001-11-08,827.3282239236115
2001-11-09,818.8590206997452
2001-11-12,802.0614194223019
2001-11-13,826.6224652943718
2001-11-14,827.0771572659285
2001-11-15,830.9805163571909
2001-11-16,836.2612150032927
2001-11-19,848.370289581714
2001-11-20,838.6394959775812
2001-11-21,838.7955531876553
2001-11-22,844.1248195775357
2001-11-23,842.2758122975717
2001-11-26,841.4429702257245
2001-11-27,832.5976072866112
2001-11-28,822.3118591565268
2001-11-29,821.9761585239543
2001-11-30,823.0795053918434
2001-12-03,819.5365655678396
2001-12-04,828.153574021429
2001-12-05,853.1495525303204
2001-12-06,858.0848964332614
2001-12-07,850.7908797018924
2001-12-10,838.0469010632503
2001-12-11,837.420976202706
2001-12-12,829.2097728364241
2001-12-13,815.3073013930526
2001-12-14,809.526356396204
2001-12-17,827.4991563105189
2001-12-18,827.9852295382336
2001-12-19,821.3286488868589
2001-12-20,815.86110009732
2001-12-21,830.1849014719544
2001-12-24,834.1157054726051
2001-12-25,834.1157054726051
2001-12-26,835.2921405646157
2001-12-27,846.4087511869619
2001-12-28,852.5252648629552
2001-12-31,850.3714939021463
2002-01-01,850.3714939021463
2002-01-02,840.247591994065
2002-01-03,856.4416104783525
2002-01-04,861.1724638678164
2002-01-07,853.3996871289241
2002-01-08,848.1539224595268
2002-01-09,848.1643838141749
2002-01-10,838.9302608470332
2002-01-11,843.9117258807947
2002-01-14,826.1135257077333
2002-01-15,831.9441526565746
2002-01-16,823.5239477089872
2002-01-17,835.4595741001351
2002-01-18,831.7403626321459
2002-01-21,827.7851233237581
2002-01-22,828.2262913720174
2002-01-23,831.5365680464154
2002-01-24,842.1271510759505
2002-01-25,841.6997027426011
2002-01-28,849.3292452310319
2002-01-29,837.543215433432
2002-01-30,827.9248948142199
2002-01-31,837.5096376796293
2002-02-01,839.6718902898723
2002-02-04,829.3758633963436
2002-02-05,816.1494581271523
2002-02-06,806.7031058882669
2002-02-07,813.4975832820052
2002-02-08,813.9547171053243
2002-02-11,819.6602927993893
2002-02-12,818.0889375326994
2002-02-13,824.4908307994905
2002-02-14,833.6065986706571
2002-02-15,826.1937334693829
2002-02-18,821.8402974977627
2002-02-19,805.8375631110492
2002-02-20,801.3452482077086
2002-02-21,810.2488858309698
2002-02-22,801.5970353477234
2002-02-25,814.0129181505589
2002-02-26,820.7740970086866
2002-02-27,832.848091292204
2002-02-28,832.2703118889867
2002-03-01,840.7317605835007
2002-03-04,859.570862084811
2002-03-05,856.4114475314827
2002-03-06,858.3720865523293
2002-03-07,863.0988789182649
2002-03-08,868.8333126540812
2002-03-11,865.381317020772
2002-03-12,858.7838367032023
2002-03-13,858.7385828263199
2002-03-14,859.9427416317251
2002-03-15,868.511521781196
2002-03-18,873.2762202447458
2002-03-19,876.4844109230637
2002-03-20,869.4222489865068
2002-03-21,868.2112835706965
2002-03-22,871.9546288919425
2002-03-25,866.0592842155377
2002-03-26,868.8691532979777
2002-03-27,869.872037495707
2002-03-28,879.2396922813225
2002-03-29,879.2396922813225
2002-04-01,880.0695383875088
2002-04-02,874.8557802940092
2002-04-03,874.4199147695019
2002-04-04,866.5841179400185
2002-04-05,867.1528722856468
2002-04-08,856.1430320377254
2002-04-09,857.5691308735613
2002-04-10,865.1853091691997
2002-04-11,852.4034175360725
2002-04-12,856.6569450929134
2002-04-15,862.7320491289112
2002-04-16,876.9870834174113
2002-04-17,877.4753398298299
2002-04-18,872.8726863286615
2002-04-19,875.7795902452146
2002-04-22,870.5430438997687
2002-04-23,866.9894586578109
2002-04-24,863.9508793180637
2002-04-25,852.8784164214088
2002-04-26,849.2993070029154
2002-04-29,847.8586479749843
2002-04-30,852.6007050231505
2002-05-01,850.2596984730665
2002-05-02,850.8088630593693
2002-05-03,846.0645303448214
2002-05-06,842.7843463036489
2002-05-07,834.1578249180245
2002-05-08,852.2785365065939
2002-05-09,849.8052562717472
2002-05-10,841.8488984502031
2002-05-13,849.0202649798687
2002-05-14,859.4658591932144
2002-05-15,862.5156607816444
2002-05-16,860.5634220932152
2002-05-17,856.1730991132227
2002-05-20,851.5407684829768
2002-05-21,850.5525263441757
2002-05-22,840.6940920063896
2002-05-23,842.9429446312264
2002-05-24,844.8443299084867
2002-05-27,846.2979654769321
2002-05-28,838.0040621361308
2002-05-29,835.1075467678334
2002-05-30,823.4511402589621
2002-05-31,829.9734525533089
2002-06-03,823.8889962302276
2002-06-04,808.3904202725926
2002-06-05,803.9782314327397
2002-06-06,801.3916580630928
2002-06-07,790.3748978371989
2002-06-10,791.1000054178983
2002-06-11,799.9995014084255
2002-06-12,783.9543074571176
2002-06-13,774.1720101021972
2002-06-14,752.4831974355612
2002-06-17,777.2014106842469
2002-06-18,773.1078547956023
2002-06-19,760.0641605554503
2002-06-20,742.6564601163109
2002-06-21,740.7018145078654
2002-06-24,721.6368625852316
2002-06-25,739.3323198610101
2002-06-26,722.6343425811439
2002-06-27,731.6489142268914
2002-06-28,753.524086169985
2002-07-01,756.6292029878201
2002-07-02,733.3919495058108
