Date,AUSTRALIA IMI MOMENTUM
2006-04-14,5408.422185205135
2006-04-17,5503.064915831527
2006-04-18,5599.329126332024
2006-04-19,5733.207968542191
2006-04-20,5655.611891853108
2006-04-21,5656.597450359755
2006-04-24,5671.380766354574
2006-04-25,5689.6890773899495
2006-04-26,5813.288920925452
2006-04-27,5818.842427542496
2006-04-28,5769.028571615368
2006-05-01,5841.6812548527105
2006-05-02,5819.783715705309
2006-05-03,5890.343385692251
2006-05-04,5807.737288271138
2006-05-05,5896.769327185167
2006-05-08,5971.960541659996
2006-05-09,5995.204609204028
2006-05-10,6075.755352417244
2006-05-11,6104.313836563075
2006-05-12,6047.905721300356
2006-05-15,5818.944498506843
2006-05-16,5792.777857584945
2006-05-17,5784.364938876168
2006-05-18,5667.645740369375
2006-05-19,5548.8763597015495
2006-05-22,5388.978248258154
2006-05-23,5390.022430054897
2006-05-24,5427.525445793146
2006-05-25,5396.053419422616
2006-05-26,5507.4967047584005
2006-05-29,5610.713773473555
2006-05-30,5645.61180648673
2006-05-31,5472.7196079091445
2006-06-01,5475.498222806133
2006-06-02,5509.006124381549
2006-06-05,5570.8379748831185
2006-06-06,5389.529539019538
2006-06-07,5345.742615852752
2006-06-08,5200.312613228447
2006-06-09,5277.144650592546
2006-06-12,5258.849329449081
2006-06-13,5046.38783777787
2006-06-14,5057.928177827135
2006-06-15,5089.136008293806
2006-06-16,5247.1227565741665
2006-06-19,5142.9560602767715
2006-06-20,5083.706011921022
2006-06-21,5144.481959329502
2006-06-22,5254.77693632573
2006-06-23,5188.432083277787
2006-06-26,5198.0324678565685
2006-06-27,5276.14595506435
2006-06-28,5156.426858137937
2006-06-29,5238.902050356741
2006-06-30,5436.854728306584
2006-07-03,5474.963163445155
2006-07-04,5505.554377454771
2006-07-05,5438.264195754412
2006-07-06,5488.926261820944
2006-07-07,5562.574180607501
2006-07-10,5539.425169792143
2006-07-11,5524.566166250198
2006-07-12,5578.215430760845
2006-07-13,5549.60387449972
2006-07-14,5384.729176312065
2006-07-17,5330.646162789313
2006-07-18,5275.740307909996
2006-07-19,5256.28206833625
2006-07-20,5391.925143975759
2006-07-21,5340.403539751607
2006-07-24,5295.35757139987
2006-07-25,5388.88349400467
2006-07-26,5351.0224457391005
2006-07-27,5482.846822951299
2006-07-28,5449.121793373137
2006-07-31,5473.41311332909
2006-08-01,5436.122012467429
2006-08-02,5394.297270165898
2006-08-03,5430.941145174307
2006-08-04,5415.180930630047
2006-08-07,5420.553688648664
2006-08-08,5463.431197378807
2006-08-09,5411.734776784325
2006-08-10,5412.579045349927
2006-08-11,5409.14243434786
2006-08-14,5384.849967850149
2006-08-15,5354.738628810539
2006-08-16,5415.001928895485
2006-08-17,5506.973418705133
2006-08-18,5476.26488465007
2006-08-21,5539.656472602277
2006-08-22,5570.73420325932
2006-08-23,5580.402747764918
2006-08-24,5477.192838949313
2006-08-25,5474.445524138495
2006-08-28,5507.076633305552
2006-08-29,5548.199846354616
2006-08-30,5565.165712145669
2006-08-31,5623.636153450503
2006-09-01,5606.55063649872
2006-09-04,5693.042565653351
2006-09-05,5721.353548491563
2006-09-06,5659.384543366788
2006-09-07,5587.113884092501
2006-09-08,5519.014787866224
