Date,COLOMBIA EQUAL WEIGHTED
2019-11-04,17658.896612838307
2019-11-05,17842.541298420616
2019-11-06,17605.420908658256
2019-11-07,17710.158049192338
2019-11-08,17384.064627269025
2019-11-11,17364.853127276627
2019-11-12,17154.054552279456
2019-11-13,16816.562454877778
2019-11-14,16624.027961571883
2019-11-15,16904.95710794819
2019-11-18,16661.493964992536
2019-11-19,16625.36813650572
2019-11-20,16453.308287724303
2019-11-21,16416.55034521989
2019-11-22,16774.618801949415
2019-11-25,16381.229832838475
2019-11-26,16173.273876991121
2019-11-27,15755.048606089627
2019-11-28,15909.565470167365
2019-11-29,15983.010149034284
2019-12-02,15915.88736115089
2019-12-03,15909.309251744135
2019-12-04,16314.62188271321
2019-12-05,16410.682628081962
2019-12-06,16520.324707352636
2019-12-09,16489.247569734016
2019-12-10,16432.39461762789
2019-12-11,16631.338024936424
2019-12-12,16827.798633274644
2019-12-13,16986.842291847963
2019-12-16,17039.61571340058
2019-12-17,17084.821213513118
2019-12-18,17391.9186416055
2019-12-19,17455.095768841722
2019-12-20,17423.90614630317
2019-12-23,17824.9269785247
2019-12-24,17822.284309192175
2019-12-25,17822.284309192175
2019-12-26,17840.775270240054
2019-12-27,17869.713207927354
2019-12-30,17881.555056653997
2019-12-31,17865.207451848277
2020-01-01,17865.207451848277
2020-01-02,18095.82769766283
2020-01-03,18378.480470528117
2020-01-06,18433.645276590316
2020-01-07,18141.27555708322
2020-01-08,18070.13161260284
2020-01-09,18037.28832856707
2020-01-10,17969.375445645714
2020-01-13,17925.56374263541
2020-01-14,17949.044138902787
2020-01-15,17726.16976598941
2020-01-16,17577.637218634798
2020-01-17,17632.834579199698
2020-01-20,17598.575962710533
2020-01-21,17467.79532011409
2020-01-22,17469.513244901213
2020-01-23,17272.23062286659
2020-01-24,17236.074120892936
2020-01-27,16859.448798662204
2020-01-28,16833.897119340232
2020-01-29,16934.504158757394
2020-01-30,16977.02285081253
2020-01-31,16584.539706040894
2020-02-03,16741.919285749045
2020-02-04,17138.408100089557
2020-02-05,17327.562255749875
2020-02-06,17192.318004718916
2020-02-07,17031.90710566891
2020-02-10,16744.258928045478
2020-02-11,16872.287387992325
2020-02-12,17201.854166568966
2020-02-13,17325.933398913126
2020-02-14,17351.384296044773
2020-02-17,17287.054966025582
2020-02-18,17225.752960959304
2020-02-19,17392.164840637823
2020-02-20,17331.24366449376
2020-02-21,16907.736141130048
2020-02-24,16740.789750091233
2020-02-25,16497.57450595206
2020-02-26,16191.907702056416
2020-02-27,15484.711111711806
2020-02-28,15263.900599384628
2020-03-02,15262.275699800552
2020-03-03,15390.146172151211
2020-03-04,15670.870591082854
2020-03-05,15401.597856985643
2020-03-06,14724.28368943417
2020-03-09,12205.5299353623
2020-03-10,12425.60981704815
2020-03-11,11542.071912199695
2020-03-12,9628.484163511024
2020-03-13,9946.317147333031
2020-03-16,7992.267764044692
2020-03-17,7973.923661875521
2020-03-18,6898.8367350061835
2020-03-19,6997.371457189034
2020-03-20,7183.87670163755
2020-03-23,7036.349434635499
2020-03-24,7206.144728169908
2020-03-25,8568.526699206835
2020-03-26,10358.825802724485
2020-03-27,9844.096319902195
2020-03-30,9704.31334301892
2020-03-31,9330.467594386582
2020-04-01,8688.056843625594
2020-04-02,9353.277477333222
2020-04-03,9615.256907200734
2020-04-06,10000.657786690805
2020-04-07,10204.360545026313
2020-04-08,10527.717328526904
2020-04-09,10485.717217461324
2020-04-10,10485.717217461324
2020-04-13,10692.182645483197
2020-04-14,10764.659060637996
2020-04-15,10520.816125507943
2020-04-16,10459.453284182187
2020-04-17,10254.12516495118
2020-04-20,10200.685939512008
2020-04-21,9528.023327514644
2020-04-22,9522.706039426199
2020-04-23,9581.171679932248
2020-04-24,9267.237716470636
2020-04-27,9157.830948573657
2020-04-28,9482.818944435048
2020-04-29,9745.725468033997
2020-04-30,9852.797465126981
2020-05-01,9744.799533743866
2020-05-04,9397.70475620431
2020-05-05,9507.46518667317
2020-05-06,9289.317705852463
2020-05-07,9592.459578558031
2020-05-08,9585.03308355327
2020-05-11,9477.314645613751
2020-05-12,9424.532162352738
2020-05-13,9056.1439752136
2020-05-14,9009.53420215883
2020-05-15,9031.407327252107
2020-05-18,9556.6176358931
2020-05-19,9515.011807038718
2020-05-20,9577.424707443892
2020-05-21,9545.80788595806
2020-05-22,9441.324415633939
2020-05-25,9450.273870036117
2020-05-26,9741.845368999786
2020-05-27,9859.02890230396
2020-05-28,9832.712692139656
2020-05-29,10118.08221990379
2020-06-01,10231.156197709573
2020-06-02,10470.952917428262
2020-06-03,11182.708721491157
2020-06-04,11213.191831222044
2020-06-05,11800.080460478344
2020-06-08,11989.794266642322
2020-06-09,11668.58504536084
2020-06-10,10962.419175729354
2020-06-11,10308.792598638207
2020-06-12,10402.941030414186
2020-06-15,10300.384930380473
2020-06-16,10516.78947980787
2020-06-17,10323.717757174383
2020-06-18,10215.949796732268
2020-06-19,10540.117803076615
2020-06-22,10511.90058701098
2020-06-23,10473.208162476209
2020-06-24,10306.928076245382
2020-06-25,10237.187660928881
2020-06-26,10037.389760105234
2020-06-29,10057.559806360474
2020-06-30,10120.799839180221
2020-07-01,10077.060554355176
2020-07-02,10438.785547282368
2020-07-03,10606.626651759947
2020-07-06,10666.952827887155
2020-07-07,10752.13541767695
2020-07-08,11014.967301394814
2020-07-09,10804.895292248451
2020-07-10,10890.163021555627
2020-07-13,10818.034136097689
2020-07-14,10820.364004404268
2020-07-15,10843.197804841298
2020-07-16,10986.655741660648
2020-07-17,10954.950036448296
2020-07-20,10938.665209507417
2020-07-21,11069.326797949003
2020-07-22,11123.088104883755
2020-07-23,11113.231138037563
2020-07-24,10944.644902755468
2020-07-27,11048.07692903762
2020-07-28,10860.959292031761
2020-07-29,10944.312992360225
2020-07-30,10723.046493819782
2020-07-31,10587.289068827682
2020-08-03,10392.433308298352
2020-08-04,10275.31380981267
2020-08-05,10427.422214672592
2020-08-06,10480.715430119419
2020-08-07,10570.858266559682
2020-08-10,10538.001120085586
2020-08-11,10439.450206091999
2020-08-12,10536.854056233058
2020-08-13,10619.369649130673
2020-08-14,10709.56421848192
2020-08-17,10682.635009574435
2020-08-18,10917.924353884024
2020-08-19,10789.3789099825
2020-08-20,10773.584898185694
