Date,AC FAR EAST ex JAPAN IMI
2021-08-25,2573.448481783677
2021-08-26,2553.556112994512
2021-08-27,2549.2862155010203
2021-08-30,2570.07393339387
2021-08-31,2612.189729124002
2021-09-01,2613.743589592242
2021-09-02,2609.3531868859004
2021-09-03,2613.1422969465066
2021-09-06,2636.2566116702897
2021-09-07,2647.758744469907
2021-09-08,2632.113187189824
2021-09-09,2595.554479529668
2021-09-10,2619.165306866464
2021-09-13,2598.3638641858925
2021-09-14,2583.379634033708
2021-09-15,2556.996907602913
2021-09-16,2541.4804829564614
2021-09-17,2562.640535796829
2021-09-20,2523.034242268465
2021-09-21,2528.4894103724937
2021-09-22,2519.114379190818
2021-09-23,2534.154406570025
2021-09-24,2528.239063060902
2021-09-27,2533.3248476780213
2021-09-28,2533.437764396518
2021-09-29,2522.8526578095953
2021-09-30,2534.855274214624
2021-10-01,2510.0752974280585
2021-10-04,2478.6380106430097
2021-10-05,2480.4553611819074
2021-10-06,2474.6814214082
2021-10-07,2531.3703016805007
2021-10-08,2532.770105631317
2021-10-11,2552.0981601990356
2021-10-12,2525.0632898400518
2021-10-13,2531.144835486264
2021-10-14,2538.811431053356
2021-10-15,2574.141326306523
2021-10-18,2575.2536681682814
2021-10-19,2604.367482499064
2021-10-20,2619.1309221735446
2021-10-21,2610.969818470567
2021-10-22,2617.200111617477
2021-10-25,2629.676634180153
2021-10-26,2629.656180547892
2021-10-27,2602.0086482981055
2021-10-28,2576.769778070482
2021-10-29,2582.6041595556853
2021-11-01,2571.419349300468
2021-11-02,2570.2840255959654
2021-11-03,2562.2763024883207
2021-11-04,2580.0243240318027
2021-11-05,2564.98863579756
2021-11-08,2560.8427293626414
2021-11-09,2571.59262825255
2021-11-10,2589.9761903096987
2021-11-11,2615.6622520047918
2021-11-12,2637.3595467609643
2021-11-15,2651.641012051809
2021-11-16,2685.7169426342725
2021-11-17,2685.8706524886966
2021-11-18,2655.9710382077797
2021-11-19,2656.102727316384
2021-11-22,2677.838241797088
2021-11-23,2649.459366911402
2021-11-24,2663.714579480887
2021-11-25,2660.161954234546
2021-11-26,2579.0213041658603
2021-11-29,2576.633391256878
2021-11-30,2554.0918484503086
2021-12-01,2560.537355691555
2021-12-02,2577.899902536971
2021-12-03,2570.0342723982444
2021-12-06,2547.9396474469163
2021-12-07,2600.8214679226226
2021-12-08,2592.338033993173
2021-12-09,2625.526493396215
2021-12-10,2596.4372709811782
2021-12-13,2590.8365819106625
2021-12-14,2565.346644941814
2021-12-15,2557.1741861854766
2021-12-16,2557.947376607095
2021-12-17,2550.911955938106
2021-12-20,2494.181048221117
2021-12-21,2528.5876612225807
2021-12-22,2523.9813382540124
2021-12-23,2546.7574530366883
2021-12-24,2545.7810697339037
2021-12-27,2548.255140377773
2021-12-28,2563.724192216719
2021-12-29,2537.1868192918523
2021-12-30,2548.768651189917
2021-12-31,2558.952294422967
2022-01-03,2575.528438561754
2022-01-04,2571.6244392377757
2022-01-05,2528.597283220514
2022-01-06,2529.246177077494
2022-01-07,2534.2869373838207
2022-01-10,2552.7802668519166
2022-01-11,2558.7492069289033
2022-01-12,2588.790152082346
2022-01-13,2570.336815055491
2022-01-14,2567.5022424271083
2022-01-17,2564.949545954239
2022-01-18,2562.876567056604
2022-01-19,2551.015305995668
2022-01-20,2593.2631251230714
2022-01-21,2571.3708487922313
2022-01-24,2554.487791763927
2022-01-25,2517.136238279247
2022-01-26,2509.9464301408707
