Date,ACWI ex PERU IMI
2021-05-26,4158.666366481847
2021-05-27,4169.166531955693
2021-05-28,4188.960490908827
2021-05-31,4175.748261051876
2021-06-01,4185.862534839328
2021-06-02,4203.069576635368
2021-06-03,4208.9636579170865
2021-06-04,4227.833267404339
2021-06-07,4227.128228893719
2021-06-08,4230.595774252453
2021-06-09,4221.1189467499
2021-06-10,4238.955857293334
2021-06-11,4269.945222220499
2021-06-14,4272.419434111728
2021-06-15,4265.858539900832
2021-06-16,4254.860180057858
2021-06-17,4294.936900013301
2021-06-18,4271.03539095771
2021-06-21,4283.56385660591
2021-06-22,4310.078152770179
2021-06-23,4295.224804148994
2021-06-24,4326.189973769794
2021-06-25,4337.855146562863
2021-06-28,4344.6317497870305
2021-06-29,4349.437363286932
2021-06-30,4357.265232875604
2021-07-01,4365.9231719447835
2021-07-02,4390.010178757996
2021-07-05,4388.81365890256
2021-07-06,4384.988937369573
2021-07-07,4399.934511403464
2021-07-08,4335.934274722561
2021-07-09,4374.237608654478
2021-07-12,4395.265381620515
2021-07-13,4401.170896129383
2021-07-14,4398.37207344021
2021-07-15,4382.691587316187
2021-07-16,4358.112552873502
2021-07-19,4287.679719001156
2021-07-20,4341.85281214598
2021-07-21,4374.729398637534
2021-07-22,4388.467669122243
2021-07-23,4425.443958069863
2021-07-26,4407.976353938512
2021-07-27,4375.947932480478
2021-07-28,4395.143369088212
2021-07-29,4401.468876924509
2021-07-30,4379.730064458109
2021-08-02,4386.990027445843
2021-08-03,4413.122278189859
2021-08-04,4411.329213605049
2021-08-05,4435.841353757173
2021-08-06,4457.771835010315
2021-08-09,4461.198046158573
2021-08-10,4476.917388902065
2021-08-11,4482.933008928136
2021-08-12,4491.736803826518
2021-08-13,4473.317286334737
2021-08-16,4464.500771936881
2021-08-17,4455.338546260578
2021-08-18,4434.540738457696
2021-08-19,4411.6728513712915
2021-08-20,4430.562875189948
2021-08-23,4458.423611516307
2021-08-24,4478.747144645503
2021-08-25,4490.898605124476
2021-08-26,4466.243871817234
2021-08-27,4491.416015216234
2021-08-30,4506.784200467334
2021-08-31,4508.478236884223
2021-09-01,4505.697933681842
2021-09-02,4515.62819770255
2021-09-03,4514.883996088518
2021-09-06,4532.408967521785
2021-09-07,4523.823405949949
2021-09-08,4513.860320312404
2021-09-09,4495.412483791347
2021-09-10,4475.215620369211
2021-09-13,4488.198971027345
2021-09-14,4468.711662798869
2021-09-15,4481.607046563238
2021-09-16,4491.971820434118
2021-09-17,4472.776413065203
2021-09-20,4403.7611954069525
2021-09-21,4409.280843730156
2021-09-22,4439.092694025874
2021-09-23,4479.791404236748
2021-09-24,4485.622760367081
2021-09-27,4485.364011925136
2021-09-28,4412.436415666296
2021-09-29,4425.795822349726
2021-09-30,4409.034182845302
2021-10-01,4425.53559455427
2021-10-04,4374.509164833198
2021-10-05,4413.709896888286
2021-10-06,4425.256661039837
2021-10-07,4470.4248761444105
2021-10-08,4462.044485599959
2021-10-11,4450.296625450964
2021-10-12,4448.238165549011
2021-10-13,4460.232246259275
2021-10-14,4515.901886413593
2021-10-15,4546.148335019593
2021-10-18,4552.79141432538
2021-10-19,4567.849635431519
2021-10-20,4584.060533555116
2021-10-21,4587.2460669226
2021-10-22,4585.754807144128
2021-10-25,4612.3365165379655
2021-10-26,4626.868879083927
2021-10-27,4597.4552812107695
2021-10-28,4600.448034565862
2021-10-29,4630.227670939004
2021-11-01,4650.618463584454
2021-11-02,4658.956888548771
2021-11-03,4680.780654870049
