Date,GOLDEN DRAGON IMI
2009-08-10,949.8252925960356
2009-08-11,956.796663278784
2009-08-12,933.6319005988522
2009-08-13,945.0619979229368
2009-08-14,949.2351333710094
2009-08-17,926.9943277864809
2009-08-18,920.8959053833397
2009-08-19,904.2546183360131
2009-08-20,913.5359742801045
2009-08-21,903.954585190297
2009-08-24,922.0315756967958
2009-08-25,916.7656554919838
2009-08-26,918.8771807795686
2009-08-27,910.4799978469125
2009-08-28,900.5549885995184
2009-08-31,890.1246308795733
2009-09-01,907.163606478629
2009-09-02,902.6381728530927
2009-09-03,916.3209285428867
2009-09-04,937.3373965562024
2009-09-07,943.8605023602224
2009-09-08,947.4396720987534
2009-09-09,935.6394010905691
2009-09-10,947.130723359962
2009-09-11,946.5088747831576
2009-09-14,935.9124815239119
2009-09-15,938.6474881869573
2009-09-16,950.9260558652157
2009-09-17,957.6670665241487
2009-09-18,955.3043780188756
2009-09-21,953.5719667606483
2009-09-22,949.0998747690469
2009-09-23,944.5851230067607
2009-09-24,932.6777964999719
2009-09-25,934.7100580950788
2009-09-28,920.0869224162315
2009-09-29,943.8851342346261
2009-09-30,943.553677629662
2009-10-01,949.5567390681474
2009-10-02,924.7380495684372
2009-10-05,926.6936779266663
2009-10-06,937.7334686970607
2009-10-07,958.1351649832438
2009-10-08,953.7934178265414
2009-10-09,957.8477386488054
2009-10-12,950.01024035459
2009-10-13,954.3650568134301
2009-10-14,965.9903525593515
2009-10-15,966.4573371011339
2009-10-16,967.1360050972468
2009-10-19,973.9005357615149
2009-10-20,981.1678774407359
2009-10-21,974.4167004897273
2009-10-22,966.633771862423
2009-10-23,977.8692988728512
2009-10-26,983.529090545738
2009-10-27,980.7266248282417
2009-10-28,967.0811744514941
2009-10-29,939.4453959484558
2009-10-30,957.9169502123639
2009-11-02,951.2800454328567
2009-11-03,950.0131197365632
2009-11-04,958.2359563865575
2009-11-05,950.8461632160081
2009-11-06,963.1596541934387
2009-11-09,967.8368501803534
2009-11-10,974.2867346659916
2009-11-11,982.5296110102386
2009-11-12,986.4298883959807
2009-11-13,990.601911451266
2009-11-16,999.628856484341
2009-11-17,1006.7484169398668
2009-11-18,996.9561926923769
2009-11-19,998.8755761710214
2009-11-20,990.0493064267021
2009-11-23,990.4392527068712
2009-11-24,985.880124803859
2009-11-25,986.7461172485409
2009-11-26,982.0339404318516
2009-11-27,943.7771729978188
2009-11-30,966.8990898973333
2009-12-01,975.2593852309551
2009-12-02,984.7927297337347
2009-12-03,992.6421254422286
2009-12-04,1003.2651221790182
2009-12-07,1009.392664213174
2009-12-08,1010.9514526110636
2009-12-09,1001.8630290288723
2009-12-10,995.8185268644046
2009-12-11,1013.8639972220683
2009-12-14,1015.8158025690157
2009-12-15,1015.5931626646758
2009-12-16,1003.0667038124607
2009-12-17,1008.0708157425299
2009-12-18,1004.3386186071531
2009-12-21,997.591290851276
2009-12-22,1011.754403802725
2009-12-23,1015.1016140471029
2009-12-24,1023.0800866142753
2009-12-25,1023.342588818714
2009-12-28,1025.6798157629648
2009-12-29,1025.1575284844512
2009-12-30,1036.2500102486665
2009-12-31,1050.0093179274124
2010-01-01,1050.0093179274124
2010-01-04,1048.4771036905734
2010-01-05,1065.7112483615363
2010-01-06,1075.9466560555982
2010-01-07,1071.8010590871759
2010-01-08,1074.5490443421725
2010-01-11,1065.990166351692
2010-01-12,1065.3687336916018
2010-01-13,1043.7745233753456
2010-01-14,1052.2409985294767
2010-01-15,1061.832854748713
2010-01-18,1053.6385275947744
2010-01-19,1064.396820207362
2010-01-20,1064.6458166281593
2010-01-21,1047.0529910175453
2010-01-22,1026.2481877450919
2010-01-25,1018.2531312197367
2010-01-26,991.83278832186
2010-01-27,984.2889885582271
2010-01-28,1007.2917091205534
2010-01-29,1003.8885853183298
2010-02-01,1002.308675984089
2010-02-02,997.1872087193284
2010-02-03,1022.3605367842653
2010-02-04,1019.6391583924619
2010-02-05,988.5529934909853
2010-02-08,980.2879065891822
2010-02-09,992.114115367181
2010-02-10,1005.6442882295426
2010-02-11,1024.9817413573267
2010-02-12,1025.7854776113763
2010-02-15,1026.7824972289459
2010-02-16,1018.9067486238683
2010-02-17,1029.959946833129
2010-02-18,1027.9030729411518
2010-02-19,1019.3930068914428
2010-02-22,1032.931457845408
2010-02-23,1043.3208043131372
2010-02-24,1033.5670911709399
2010-02-25,1031.4465456297976
2010-02-26,1029.595835749397
2010-03-01,1064.614429007978
2010-03-02,1061.51493433231
2010-03-03,1053.1307376570956
2010-03-04,1047.5459509736133
2010-03-05,1059.9922004562395
2010-03-08,1076.5999643649807
2010-03-09,1083.753356781557
2010-03-10,1080.0282915687922
2010-03-11,1078.154197647211
2010-03-12,1070.8355126043891
2010-03-15,1067.6007456747682
2010-03-16,1060.3630785364485
2010-03-17,1083.186815882409
2010-03-18,1095.1019217755397
2010-03-19,1104.9243005041913
2010-03-22,1088.3874496615874
2010-03-23,1086.470634818186
2010-03-24,1103.684261633337
2010-03-25,1098.9574853920462
2010-03-26,1104.559429811511
2010-03-29,1109.8539849881956
2010-03-30,1119.5825619953569
2010-03-31,1104.1469533676532
2010-04-01,1120.157781728637
2010-04-02,1120.945068370917
2010-04-05,1123.6289987214939
2010-04-06,1138.432420394684
2010-04-07,1160.0332299399504
2010-04-08,1151.444036107042
2010-04-09,1154.871294492103
2010-04-12,1137.2487308723241
2010-04-13,1132.7608193232861
2010-04-14,1133.017045688695
2010-04-15,1142.3124067027322
2010-04-16,1132.1372070583088
2010-04-19,1106.8460042686124
2010-04-20,1118.5273641699778
2010-04-21,1129.178843656861
2010-04-22,1133.0641173216145
2010-04-23,1124.943412497643
2010-04-26,1147.0210299090384
2010-04-27,1136.5492900977388
2010-04-28,1132.3354398754643
2010-04-29,1120.8584680302974
2010-04-30,1126.2358377390717
2010-05-03,1124.4991471022265
2010-05-04,1132.8163542131617
2010-05-05,1116.5453524319105
2010-05-06,1109.4718918991746
2010-05-07,1107.5717758366984
2010-05-10,1114.6434202851124
2010-05-11,1115.6218828109745
2010-05-12,1114.3805917470806
2010-05-13,1145.2451292860771
2010-05-14,1150.2630119330559
2010-05-17,1125.895619514728
2010-05-18,1128.6168106917014
2010-05-19,1112.7781298396142
2010-05-20,1096.6671996186258
2010-05-21,1068.057355420887
2010-05-24,1098.7420707619103
2010-05-25,1067.3056037617946
2010-05-26,1085.2662001333556
2010-05-27,1104.0298722886148
2010-05-28,1117.1306585151908
2010-05-31,1128.1786141387872
2010-06-01,1106.22802484346
2010-06-02,1105.1845339694905
2010-06-03,1127.9424058311295
2010-06-04,1142.9892588709902
2010-06-07,1124.2992979080243
2010-06-08,1125.0774509112011
2010-06-09,1114.229253297671
2010-06-10,1115.5894605004046
2010-06-11,1133.9775115976638
2010-06-14,1132.053693539266
2010-06-15,1132.6228725534982
2010-06-16,1131.8855885711037
2010-06-17,1137.2007252335613
2010-06-18,1139.148172657386
2010-06-21,1177.7200492916056
2010-06-22,1180.6419901718386
2010-06-23,1179.7782127868134
2010-06-24,1168.9771169067117
2010-06-25,1161.5120279002003
2010-06-28,1157.1228633799342
2010-06-29,1148.7770437317738
2010-06-30,1136.0963563178436
2010-07-01,1111.6344072132563
2010-07-02,1091.6193173591732
2010-07-05,1101.0020794073596
2010-07-06,1109.8366796376988
2010-07-07,1104.4186459630328
2010-07-08,1112.5835486087792
2010-07-09,1133.964051976454
2010-07-12,1142.0054335236355
2010-07-13,1128.7142897187246
2010-07-14,1134.1154416306083
2010-07-15,1108.4391803394494
2010-07-16,1099.4212490967514
2010-07-19,1093.0990837442348
2010-07-20,1112.7608809996511
2010-07-21,1126.4790943952758
2010-07-22,1120.7507834736577
2010-07-23,1143.5171493690661
2010-07-26,1133.949755514943
2010-07-27,1132.983799992227
2010-07-28,1135.3952824814987
2010-07-29,1131.8372684088924
2010-07-30,1134.1719125773732
2010-08-02,1144.4259680530024
2010-08-03,1143.8530158199599
2010-08-04,1152.7464003198456
2010-08-05,1149.0501349564895
2010-08-06,1141.9053923794943
2010-08-09,1154.8611429237403
2010-08-10,1152.6657441272116
2010-08-11,1158.5129423849626
2010-08-12,1154.0207428799256
2010-08-13,1167.4129135829173
2010-08-16,1162.9201210433012
2010-08-17,1161.7045023260025
2010-08-18,1162.1812906210155
2010-08-19,1165.1058912071185
2010-08-20,1178.3876486416125
2010-08-23,1178.1858314749904
2010-08-24,1167.699327028425
2010-08-25,1160.2744959749566
2010-08-26,1146.975067570596
2010-08-27,1148.637394465735
2010-08-30,1157.9252142255755
2010-08-31,1145.6424338074833
2010-09-01,1143.681332141614
2010-09-02,1156.0172465134835
2010-09-03,1164.614180210546
2010-09-06,1180.8365324874467
2010-09-07,1195.2344465798792
2010-09-08,1182.2330503475976
2010-09-09,1187.9438858575622
2010-09-10,1194.183668479619
2010-09-13,1205.5672982069789
2010-09-14,1199.9924573602013
2010-09-15,1196.0065283764388
2010-09-16,1184.492454547741
2010-09-17,1204.4013548668515
2010-09-20,1204.4712396794985
2010-09-21,1203.3410205373914
2010-09-22,1181.3608603088617
2010-09-23,1189.6934038113986
2010-09-24,1178.774290762904
2010-09-27,1189.6017999450405
2010-09-28,1175.3300832440552
2010-09-29,1185.7000659832374
2010-09-30,1182.1468034606605
2010-10-01,1176.2657697473906
2010-10-04,1193.5882186369868
2010-10-05,1175.9146245314005
2010-10-06,1185.2904104615181
2010-10-07,1183.1292576126177
2010-10-08,1180.4084720390379
2010-10-11,1190.3706671249345
2010-10-12,1187.762998929269
2010-10-13,1191.9145622954525
2010-10-14,1198.329865102045
2010-10-15,1202.1810608973635
2010-10-18,1188.570605103759
2010-10-19,1212.4684213316775
2010-10-20,1191.5011237254735
2010-10-21,1194.8931469385786
2010-10-22,1199.9687568720428
2010-10-25,1209.6591434972156
2010-10-26,1218.6682448242284
2010-10-27,1206.119527375212
2010-10-28,1200.149728099893
2010-10-29,1197.2586674073793
2010-11-01,1222.9159579861675
2010-11-02,1210.9626220560629
2010-11-03,1224.7916188793165
2010-11-04,1220.3626694936231
2010-11-05,1251.9877677924658
2010-11-08,1268.74231882104
2010-11-09,1261.1378571187913
2010-11-10,1274.0491769821508
2010-11-11,1283.093843813085
2010-11-12,1252.6823095743944
2010-11-15,1250.8054701834155
2010-11-16,1245.94479738138
2010-11-17,1222.1115692219732
2010-11-18,1236.4219255636783
2010-11-19,1233.7117910464772
2010-11-22,1242.0292405531607
2010-11-23,1232.3861251116007
