Date,FINLAND IMI GROWTH
2001-02-21,1072.0622367878218
2001-02-22,994.8292383596239
2001-02-23,928.8410712885859
2001-02-26,957.5111248912525
2001-02-27,978.4779113446706
2001-02-28,965.1829797363326
2001-03-01,948.9703091389147
2001-03-02,1016.4739752004323
2001-03-05,1068.5789239717415
2001-03-06,1122.8184681103578
2001-03-07,1094.7183118550206
2001-03-08,1037.48021548929
2001-03-09,1012.2394777343114
2001-03-12,925.6000944651487
2001-03-13,963.8054285114681
2001-03-14,962.5371049704537
2001-03-15,1073.3068013780744
2001-03-16,1052.0810282771279
2001-03-19,1087.875096319652
2001-03-20,1140.5558241712029
2001-03-21,1086.2596448951697
2001-03-22,1034.6276311448655
2001-03-23,1120.6526446765126
2001-03-26,1174.249018077688
2001-03-27,1124.1260866965501
2001-03-28,1102.343448314467
2001-03-29,1041.5930292528597
2001-03-30,1037.520916267634
2001-04-02,1031.5629146585336
2001-04-03,964.6920502052767
2001-04-04,962.2638090982441
2001-04-05,1030.3328388679408
2001-04-06,1016.4449518160243
2001-04-09,1023.1105601237119
2001-04-10,1092.1367929462847
2001-04-11,1148.9113798911646
2001-04-12,1148.9113800074729
2001-04-13,1148.9113800074729
2001-04-16,1148.911380007473
2001-04-17,1099.5005139434022
2001-04-18,1243.5796330205862
2001-04-19,1273.2647726212997
2001-04-20,1306.8218586851972
2001-04-23,1286.6343788089487
2001-04-24,1277.7985153044622
2001-04-25,1258.8489985327888
2001-04-26,1277.4913995994816
2001-04-27,1350.6364788590477
2001-04-30,1416.2457586396745
2001-05-01,1416.2457586396742
2001-05-02,1424.5457045873509
2001-05-03,1381.013017970927
2001-05-04,1393.545826855538
2001-05-07,1404.5164511459238
2001-05-08,1385.3485540360468
2001-05-09,1357.4365783037872
2001-05-10,1417.4235171676748
2001-05-11,1377.3704019418744
2001-05-14,1331.7892715622922
2001-05-15,1336.7808775388037
2001-05-16,1328.0126853815918
2001-05-17,1406.9897485966528
2001-05-18,1447.8576542232677
2001-05-21,1461.7301910581243
2001-05-22,1486.0340977166386
2001-05-23,1445.8737884570248
2001-05-24,1445.873788457025
2001-05-25,1403.2268197078122
2001-05-28,1395.4803725435029
2001-05-29,1372.6017589496191
2001-05-30,1308.8351284527496
2001-05-31,1300.2177900465442
2001-06-01,1299.0968973171189
2001-06-04,1306.714451824755
2001-06-05,1356.8151263705715
2001-06-06,1363.60200406705
2001-06-07,1358.0273319705584
2001-06-08,1350.1037208565344
2001-06-11,1304.1805928942917
2001-06-12,1036.7541326016287
2001-06-13,1092.6995655810301
2001-06-14,1024.613588782661
2001-06-15,1016.5867412649261
2001-06-18,1015.2262483600973
2001-06-19,1039.5273461237914
2001-06-20,1015.3994593877615
2001-06-21,1030.5506414149756
2001-06-22,1030.5506455072332
2001-06-25,1021.7369439720931
2001-06-26,999.3911198420461
2001-06-27,995.4572080566362
2001-06-28,994.2811346169527
2001-06-29,1037.8016816394459
2001-07-02,1055.3353086176803
2001-07-03,1034.4785391363775
2001-07-04,1003.6606170429529
2001-07-05,960.6234293800293
2001-07-06,907.7911780961331
2001-07-09,875.2236228690646
2001-07-10,861.3269479961707
2001-07-11,824.5769789038369
2001-07-12,868.3439707709597
2001-07-13,849.0178698534513
2001-07-16,823.4465136189148
2001-07-17,798.6868038049479
2001-07-18,800.9861901134273
2001-07-19,894.1132830169665
2001-07-20,857.5700300954979
2001-07-23,863.5800013349243
2001-07-24,867.9554869265274
2001-07-25,860.9310197564473
2001-07-26,877.915691420515
2001-07-27,922.6325945881645
2001-07-30,952.1766534393877
2001-07-31,972.0261594918671
2001-08-01,953.9965878057703
2001-08-02,980.7067566926955
2001-08-03,969.5271191738298
2001-08-06,944.4918359405
2001-08-07,952.5683962514025
2001-08-08,919.6166097112703
2001-08-09,857.794732940886
2001-08-10,817.1265176546441
2001-08-13,831.6569445372306
2001-08-14,856.4376684308559
2001-08-15,824.9221258242154
2001-08-16,788.1573879329806
2001-08-17,755.5725750889544
2001-08-20,745.4570349958392
2001-08-21,762.6545393131511
2001-08-22,756.7022212073537
2001-08-23,770.4998926954328
2001-08-24,770.6336841835323
2001-08-27,755.3257860541462
2001-08-28,728.8921744151604
2001-08-29,703.8860486801976
