Date,BELGIUM IMI GROWTH
2020-07-29,1850.019174839985
2020-07-30,1829.7959487428868
2020-07-31,1784.3331452850498
2020-08-03,1798.682767260821
2020-08-04,1776.0394439155784
2020-08-05,1765.7795243629214
2020-08-06,1750.3725206487454
2020-08-07,1760.7832044202091
2020-08-10,1746.7538422411517
2020-08-11,1772.6678247915945
2020-08-12,1789.97025043874
2020-08-13,1796.1971323101857
2020-08-14,1773.5923871425125
2020-08-17,1793.6110037860003
2020-08-18,1778.5876011385656
2020-08-19,1726.4840296109583
2020-08-20,1722.8364089745269
2020-08-21,1709.4195842857116
2020-08-24,1727.1475400379834
2020-08-25,1720.6313502979033
2020-08-26,1731.6797152330632
2020-08-27,1710.5985961429863
2020-08-28,1707.342874310574
2020-08-31,1711.749624238281
2020-09-01,1700.2146836989316
2020-09-02,1719.8235917686256
2020-09-03,1688.5825999406886
2020-09-04,1660.4390107342326
2020-09-07,1696.8342483453553
2020-09-08,1670.495369407846
2020-09-09,1700.9679478116927
2020-09-10,1688.2028120467212
2020-09-11,1700.0809664068304
2020-09-14,1689.823247052913
2020-09-15,1703.909639096512
2020-09-16,1723.3460991611987
2020-09-17,1735.435789183853
2020-09-18,1743.9969744912862
2020-09-21,1709.6116429210538
2020-09-22,1703.952406661458
2020-09-23,1717.3462806551363
2020-09-24,1686.0151298864423
2020-09-25,1685.7683332169331
2020-09-28,1714.1238555990751
2020-09-29,1720.5453423223353
2020-09-30,1716.6545795039417
2020-10-01,1731.6297116137296
2020-10-02,1735.8255458892652
2020-10-05,1750.7007974270052
2020-10-06,1734.4601958248381
2020-10-07,1723.3927995091412
2020-10-08,1738.749327257657
2020-10-09,1755.2248072542432
2020-10-12,1759.5572698419949
2020-10-13,1740.435815096144
2020-10-14,1736.2934310069197
2020-10-15,1699.5448109048968
2020-10-16,1694.1985821074793
2020-10-19,1681.2407817076235
2020-10-20,1668.4164780163076
2020-10-21,1630.9654782981859
2020-10-22,1622.6188641800763
2020-10-23,1631.4632237801713
2020-10-26,1621.544077420197
2020-10-27,1619.4064541194282
2020-10-28,1567.8221169060175
2020-10-29,1565.9907903899643
2020-10-30,1563.215297179806
