Date,BULGARIA
2017-07-03,182.56729996599807
2017-07-04,185.05113082146366
2017-07-05,182.5275309680683
2017-07-06,184.80459083729647
2017-07-07,182.47900293801177
2017-07-10,185.03817930825548
2017-07-11,185.43766552148483
2017-07-12,187.09198899693928
2017-07-13,185.32703697875615
2017-07-14,188.01288630624154
2017-07-17,188.61699797919007
2017-07-18,189.2968966664059
2017-07-19,189.6496683559532
2017-07-20,193.54317688106048
2017-07-21,193.9297216099827
2017-07-24,194.27980647553534
2017-07-25,195.67808891089106
2017-07-26,196.03522529073422
2017-07-27,195.5080807650338
2017-07-28,195.1950539171116
2017-07-31,198.97374357760603
2017-08-01,198.04157660073346
2017-08-02,198.66084498103464
2017-08-03,199.98659138420908
2017-08-04,197.50161450068558
2017-08-07,199.59261234220517
2017-08-08,198.28941688086178
2017-08-09,199.18808971395168
2017-08-10,199.25006923312807
2017-08-11,199.44455631140528
2017-08-14,199.76527793975862
2017-08-15,198.5762769983976
2017-08-16,198.41430399659336
2017-08-17,199.15462828125413
2017-08-18,197.9230917789681
2017-08-21,195.51148342521032
2017-08-22,193.29149948897793
2017-08-23,194.52346920513244
2017-08-24,195.06444280843584
2017-08-25,194.96262162141232
2017-08-28,197.88500082005947
2017-08-29,196.75166637313265
2017-08-30,193.88408500968458
2017-08-31,191.34182200893682
2017-09-01,194.9947526630061
2017-09-04,192.3394629821346
2017-09-05,193.75644672634837
2017-09-06,194.0166097968101
2017-09-07,195.2987377940459
2017-09-08,191.97970864676773
2017-09-11,189.7081601688705
2017-09-12,188.69150763406225
2017-09-13,184.0858565120163
2017-09-14,182.94073366936448
2017-09-15,182.25434363243295
2017-09-18,176.8762333867668
2017-09-19,179.45693347969618
2017-09-20,182.80003137783908
2017-09-21,183.40948825300634
2017-09-22,184.12216127369334
2017-09-25,182.3543789444912
2017-09-26,182.01526760072034
2017-09-27,180.40880989586483
2017-09-28,183.47697178603647
2017-09-29,183.10030258231652
2017-10-02,181.03878069656386
2017-10-03,179.55813288686193
2017-10-04,179.30566483025635
2017-10-05,176.88520728672123
2017-10-06,177.4303865823062
2017-10-09,178.61646473643128
2017-10-10,177.60304340047594
2017-10-11,177.39569450328256
2017-10-12,175.29889365856738
2017-10-13,177.03368450947949
2017-10-16,175.9366214583051
2017-10-17,176.57415488450562
2017-10-18,176.45738172970914
2017-10-19,178.03047377336773
2017-10-20,177.14222163701405
2017-10-23,173.8971134442173
2017-10-24,168.3812091927341
2017-10-25,170.33754522095853
2017-10-26,170.95727742377343
2017-10-27,172.1951451581162
2017-10-30,174.92997387408576
2017-10-31,174.90449829410477
2017-11-01,173.95494708829565
2017-11-02,175.63489985502517
2017-11-03,178.77564430820902
2017-11-06,176.0786691099782
2017-11-07,177.22488098025678
2017-11-08,177.16592587695683
2017-11-09,176.62676444533702
2017-11-10,176.11807019464328
2017-11-13,177.03228222927214
