Date,PACIFIC ex JAPAN HIGH DIVIDEND YIELD
2000-06-06,1192.4928039889041
2000-06-07,1191.0887454438023
2000-06-08,1189.0000834100354
2000-06-09,1180.9922830541643
2000-06-12,1186.5105523330462
2000-06-13,1189.3831585313083
2000-06-14,1199.3813934654574
2000-06-15,1195.7412474343193
2000-06-16,1215.4710746477695
2000-06-19,1200.0876949495846
2000-06-20,1203.370955734816
2000-06-21,1205.5921600355307
2000-06-22,1187.9458516673178
2000-06-23,1194.3966770012148
2000-06-26,1204.783745436673
2000-06-27,1222.9826502016583
2000-06-28,1226.9599278904388
2000-06-29,1231.9967232919637
2000-06-30,1243.2874314177536
2000-07-03,1230.497101334993
2000-07-04,1218.8190619019583
2000-07-05,1208.286120851374
2000-07-06,1204.9758926939694
2000-07-07,1209.8497878474595
2000-07-10,1219.4448132701798
2000-07-11,1220.9578528921288
2000-07-12,1224.4666310684543
