Date,EM EMEA HIGH DIVIDEND YIELD
2000-11-02,1572.5089157755112
2000-11-03,1568.8989894505646
2000-11-06,1558.6297918960565
2000-11-07,1549.438751602651
2000-11-08,1543.347773200695
2000-11-09,1526.181155719874
2000-11-10,1531.7155356626386
2000-11-13,1500.930915610524
2000-11-14,1522.4341687521865
2000-11-15,1520.629728174498
2000-11-16,1506.7502338849372
2000-11-17,1493.5202458160734
2000-11-20,1476.1290168569778
2000-11-21,1475.2322703306756
2000-11-22,1452.4595588369693
2000-11-23,1440.5719010855025
2000-11-24,1447.719928189307
2000-11-27,1476.6336005817718
2000-11-28,1471.495935140847
2000-11-29,1483.169689426143
2000-11-30,1448.541943906948
2000-12-01,1447.5095334156458
2000-12-04,1471.3480219702599
2000-12-05,1502.218549246053
2000-12-06,1577.0634292726554
2000-12-07,1554.8945594486659
2000-12-08,1587.0368529442376
2000-12-11,1597.645746212985
2000-12-12,1587.8063590184101
2000-12-13,1553.933570358778
2000-12-14,1558.8834554634843
2000-12-15,1546.2687699996602
2000-12-18,1565.8440903421895
2000-12-19,1566.141017009629
2000-12-20,1570.7069939521793
2000-12-21,1570.7978104688996
2000-12-22,1611.0372621021727
2000-12-25,1614.9605104973286
2000-12-26,1618.0929159511347
2000-12-27,1624.5864959359785
2000-12-28,1625.2239104800947
2000-12-29,1623.2982321943086
2001-01-01,1621.150889444302
2001-01-02,1612.2284299488565
2001-01-03,1596.3496877547016
2001-01-04,1655.6323715261885
2001-01-05,1639.2570754490425
2001-01-08,1637.6715987297418
2001-01-09,1629.139649625415
2001-01-10,1624.1306567640772
2001-01-11,1657.6562151256517
2001-01-12,1662.765214841555
2001-01-15,1650.3848396555425
2001-01-16,1638.4206462216355
2001-01-17,1650.4323505944749
2001-01-18,1657.681936669511
2001-01-19,1656.5459417562527
2001-01-22,1630.1330569809154
2001-01-23,1631.1070146862733
2001-01-24,1627.5884952009233
2001-01-25,1643.751429446593
2001-01-26,1643.6534784452244
2001-01-29,1648.6791879571897
2001-01-30,1671.6117554204552
2001-01-31,1705.8498722639397
2001-02-01,1744.9900869122712
2001-02-02,1731.916961251041
2001-02-05,1730.3283029180575
2001-02-06,1742.0399834513205
2001-02-07,1704.1252459474663
2001-02-08,1698.8993780469364
2001-02-09,1720.5481790245997
2001-02-12,1728.151626762932
2001-02-13,1727.3118862329159
2001-02-14,1719.4162354924665
2001-02-15,1732.905799419979
2001-02-16,1742.8807483974854
2001-02-19,1728.1516586908122
2001-02-20,1733.6003559604942
2001-02-21,1686.5985342966121
2001-02-22,1643.6548825739317
2001-02-23,1621.4852782406247
2001-02-26,1659.5624252763891
2001-02-27,1680.7137268706806
2001-02-28,1665.4274943265814
2001-03-01,1676.780740203761
2001-03-02,1679.7657483863645
2001-03-05,1679.3518142256576
2001-03-06,1676.026351459376
2001-03-07,1670.0803815992717
2001-03-08,1706.2068727552335
2001-03-09,1703.4736751109756
2001-03-12,1671.3221502125168
2001-03-13,1639.1795182736819
2001-03-14,1576.0826954680304
2001-03-15,1575.8108000049288
2001-03-16,1548.2404941027348
2001-03-19,1546.4654305883703
2001-03-20,1572.491741825752
2001-03-21,1559.7510090170942
2001-03-22,1524.0799459054879
2001-03-23,1531.4170286265407
2001-03-26,1556.4009017178068
2001-03-27,1544.2022585075642
2001-03-28,1524.5451191240636
2001-03-29,1486.584810554544
2001-03-30,1479.50944728156
2001-04-02,1451.6048087681802
2001-04-03,1421.0933746270032
2001-04-04,1436.697241867888
2001-04-05,1474.0605553874857
2001-04-06,1468.7050206072086
2001-04-09,1485.2431509699825
2001-04-10,1508.6325225489343
2001-04-11,1532.7968081129434
2001-04-12,1551.9328680822343
2001-04-13,1551.7306060499582
2001-04-16,1555.8647156071743
2001-04-17,1542.6308485838208
2001-04-18,1567.7406028297096
2001-04-19,1587.7404119621237
2001-04-20,1585.2326168188408
2001-04-23,1577.4247532296565
2001-04-24,1589.2888760089636
2001-04-25,1601.5026749463939
2001-04-26,1630.924674191189
2001-04-27,1666.8168544029645
2001-04-30,1685.063639009327
2001-05-01,1684.4320769586998
2001-05-02,1662.5349963089443
2001-05-03,1650.4565397139336
2001-05-04,1664.3882089039175
2001-05-07,1669.6363753467872
2001-05-08,1672.755967723089
2001-05-09,1676.0343027925155
2001-05-10,1688.435100784785
2001-05-11,1674.7539838410062
2001-05-14,1658.9355857523242
2001-05-15,1661.5588880925716
2001-05-16,1698.425261215312
2001-05-17,1728.2452640497936
2001-05-18,1749.1437973524016
2001-05-21,1772.9714100315773
2001-05-22,1758.0745415709846
2001-05-23,1738.624641016242
2001-05-24,1733.3924025901208
2001-05-25,1738.6905947270295
2001-05-28,1745.277093114719
2001-05-29,1727.1894182720782
2001-05-30,1719.3872597224074
2001-05-31,1725.1781171249343
2001-06-01,1697.681531143928
2001-06-04,1693.901222063319
2001-06-05,1690.9315361620775
2001-06-06,1686.4155846512735
2001-06-07,1688.6303940117266
2001-06-08,1701.6921499542202
2001-06-11,1682.9413299191588
2001-06-12,1675.2745788950106
2001-06-13,1667.1036095659495
2001-06-14,1673.0248310012319
2001-06-15,1681.8796214817576
2001-06-18,1662.5982927282391
2001-06-19,1674.998041726351
2001-06-20,1661.044833888553
2001-06-21,1669.0998718638239
2001-06-22,1670.1809389440143
2001-06-25,1672.9110868957912
2001-06-26,1687.9154340347507
2001-06-27,1694.9808896751767
2001-06-28,1684.1860365576867
2001-06-29,1683.5536031226816
2001-07-02,1688.9664659151028
2001-07-03,1672.2258237650635
2001-07-04,1644.951117619902
2001-07-05,1621.2359064468667
2001-07-06,1604.7359859947494
2001-07-09,1613.5440304104254
2001-07-10,1614.9394901575608
2001-07-11,1604.1249942596448
2001-07-12,1615.2876392914582
2001-07-13,1617.455191389028
2001-07-16,1618.1206873538067
2001-07-17,1583.4966315964955
2001-07-18,1560.7289537356148
2001-07-19,1596.5902135369229
2001-07-20,1588.0092828205984
2001-07-23,1586.9605861022583
2001-07-24,1568.7251360149935
2001-07-25,1565.8810882327746
2001-07-26,1575.108955131465
2001-07-27,1573.7731699640144
2001-07-30,1583.017260747014
2001-07-31,1572.339236844194
2001-08-01,1600.2268579023576
2001-08-02,1635.5634639032464
2001-08-03,1637.4525353087474
2001-08-06,1609.9881889734954
2001-08-07,1591.675993337782
2001-08-08,1580.0309741388235
2001-08-09,1578.5861171832516
2001-08-10,1587.459183481814
2001-08-13,1593.6630691472437
2001-08-14,1598.3261047874164
2001-08-15,1599.8616789534883
2001-08-16,1602.715922068339
2001-08-17,1602.7669435950536
2001-08-20,1593.3888723495259
2001-08-21,1594.9519722038249
2001-08-22,1620.5797739332481
2001-08-23,1631.1671543083191
2001-08-24,1639.5486863566302
2001-08-27,1654.8632294289018
2001-08-28,1656.557892661418
2001-08-29,1654.3394673271766
2001-08-30,1638.2454370487226
2001-08-31,1633.8051154981524
2001-09-03,1622.186549448065
2001-09-04,1621.540009395567
2001-09-05,1614.9922968622307
2001-09-06,1613.4362381496476
2001-09-07,1612.2748534695102
2001-09-10,1599.5115804922925
2001-09-11,1555.110808829779
2001-09-12,1516.5804164794686
2001-09-13,1534.352427895342
2001-09-14,1527.5408875857597
2001-09-17,1495.3646458128596
2001-09-18,1485.2705029863382
2001-09-19,1483.1008151391807
2001-09-20,1436.4301899344175
2001-09-21,1391.5349862200976
2001-09-24,1394.459163152116
2001-09-25,1423.9588565992983
2001-09-26,1417.5226591241878
2001-09-27,1414.6397415967012
2001-09-28,1426.6047400000812
2001-10-01,1418.7887900369667
2001-10-02,1415.9428737122853
2001-10-03,1408.6864500957136
2001-10-04,1438.881692612028
2001-10-05,1451.0043262836375
2001-10-08,1457.3320196870363
2001-10-09,1455.9633312955407
2001-10-10,1457.2726192488556
2001-10-11,1485.760313202516
2001-10-12,1482.7950891868306
2001-10-15,1489.438887385054
2001-10-16,1480.1773337957757
2001-10-17,1473.2202765567438
2001-10-18,1464.0672177416611
2001-10-19,1454.949351500619
2001-10-22,1439.1439895902765
2001-10-23,1442.578463432277
2001-10-24,1453.4108514715613
2001-10-25,1449.1274074457476
2001-10-26,1453.943800106945
2001-10-29,1468.338694010759
2001-10-30,1448.813149078026
2001-10-31,1445.451105329918
2001-11-01,1446.2382505808234
2001-11-02,1457.0586834234093
2001-11-05,1480.5561016255451
2001-11-06,1473.8890956693576
2001-11-07,1463.2050462913721
2001-11-08,1476.5087936197492
2001-11-09,1460.651698981568
2001-11-12,1461.817930905973
2001-11-13,1482.641505095736
2001-11-14,1505.221897708255
2001-11-15,1517.6091413328184
2001-11-16,1520.3558914109096
2001-11-19,1533.6647366685154
2001-11-20,1520.8871792634309
2001-11-21,1506.9854063192047
2001-11-22,1503.9758105423386
2001-11-23,1499.6941173543964
2001-11-26,1520.950545911573
2001-11-27,1500.2341790842415
2001-11-28,1511.216179554998
2001-11-29,1483.4653037795795
2001-11-30,1483.7924618809457
2001-12-03,1481.603715116821
2001-12-04,1473.45548083426
2001-12-05,1479.239048632587
2001-12-06,1491.3384522674494
2001-12-07,1464.0257423778846
2001-12-10,1485.1687630725417
2001-12-11,1458.432476816863
2001-12-12,1455.899144592695
2001-12-13,1428.3849471550673
2001-12-14,1413.984974520794
2001-12-17,1450.4968797857186
2001-12-18,1426.9520266235634
2001-12-19,1409.8642552807735
2001-12-20,1363.1182980597641
2001-12-21,1408.2383903877133
2001-12-24,1434.6560799581512
2001-12-25,1438.15664678738
2001-12-26,1446.1512858719711
2001-12-27,1461.4167700137934
2001-12-28,1463.3147710445273
2001-12-31,1470.842937348875
2002-01-01,1473.4785920506781
2002-01-02,1470.8253953969543
2002-01-03,1473.7601329557203
2002-01-04,1492.625268025654
2002-01-07,1520.9051120602874
2002-01-08,1542.2406326457447
2002-01-09,1546.045135480914
2002-01-10,1540.2289177341806
2002-01-11,1564.0194149599288
2002-01-14,1558.2556753891483
2002-01-15,1527.7833882895366
2002-01-16,1514.945231130696
2002-01-17,1528.5897121008593
2002-01-18,1516.2330632023577
2002-01-21,1489.231209331408
2002-01-22,1483.4938433077589
2002-01-23,1501.5855614259635
2002-01-24,1508.7054919709713
2002-01-25,1488.3259139464121
2002-01-28,1488.0506936967938
2002-01-29,1493.8650271739255
2002-01-30,1489.176473952195
2002-01-31,1520.9928916025797
2002-02-01,1511.1307223770634
2002-02-04,1524.9660576109125
2002-02-05,1527.9383792041217
2002-02-06,1557.2335454885445
2002-02-07,1546.6515358580086
2002-02-08,1550.396435888222
2002-02-11,1529.7194132108907
2002-02-12,1551.9115235278987
2002-02-13,1556.428314624076
2002-02-14,1575.2034866764734
2002-02-15,1599.4054146151113
2002-02-18,1591.7760578542561
2002-02-19,1570.3609909741028
2002-02-20,1554.6516994612048
2002-02-21,1531.4398354853731
2002-02-22,1545.0347266030558
2002-02-25,1552.7894861999666
2002-02-26,1561.0730023296608
2002-02-27,1585.3624740381902
2002-02-28,1574.9005249432014
2002-03-01,1575.8426015533698
2002-03-04,1632.2551778384893
2002-03-05,1636.961012523005
2002-03-06,1627.8493637376712
2002-03-07,1602.931586793522
2002-03-08,1566.1694359507133
2002-03-11,1604.4157390853818
2002-03-12,1599.1551253437992
2002-03-13,1599.726528279312
2002-03-14,1611.3919330061292
2002-03-15,1600.1053688313257
2002-03-18,1595.4522305226562
2002-03-19,1602.4446652601653
2002-03-20,1607.6570204832012
2002-03-21,1626.9288646342889
2002-03-22,1636.8324253958704
