Date,EM EASTERN EUROPE IMI VALUE
2004-12-10,416.0225915667198
2004-12-13,419.3182821132963
2004-12-14,431.3284945009366
2004-12-15,439.3806034309686
2004-12-16,437.07854610892804
2004-12-17,434.42820129092706
2004-12-20,436.8622799339554
2004-12-21,449.03855148585086
2004-12-22,447.0694946091219
2004-12-23,451.2232708423662
2004-12-24,452.74426004349294
2004-12-27,459.726704698797
2004-12-28,457.6178832821583
2004-12-29,459.67777757273876
2004-12-30,464.2617367006258
2004-12-31,467.36831728077635
2005-01-03,464.796790431224
2005-01-04,461.9797866521541
2005-01-05,457.87424144702334
2005-01-06,451.7054155073944
2005-01-07,449.8580504332662
2005-01-10,449.3090673714119
2005-01-11,449.04210852486517
2005-01-12,451.15687709296
2005-01-13,450.1039885497138
2005-01-14,451.63532028835505
2005-01-17,455.2571737758739
2005-01-18,444.99422556837857
2005-01-19,446.2320100521929
2005-01-20,441.7037763761312
2005-01-21,443.6299492385532
2005-01-24,448.4645254943828
2005-01-25,452.6473017121493
2005-01-26,454.5999177926976
2005-01-27,459.1210361412412
2005-01-28,466.60693771818
2005-01-31,471.39276471741204
2005-02-01,474.52591118962215
2005-02-02,478.68655074353023
2005-02-03,482.6754425252125
2005-02-04,485.313414936666
2005-02-07,488.232504225399
2005-02-08,484.60869279010586
2005-02-09,485.15961008863167
2005-02-10,485.1557807064019
2005-02-11,486.3354312309993
2005-02-14,486.6961191039453
2005-02-15,493.7460688748043
2005-02-16,502.0953650020076
2005-02-17,505.9471014609276
2005-02-18,505.1554770046636
2005-02-21,511.03458768667804
2005-02-22,516.1178446516192
2005-02-23,515.7575404893057
2005-02-24,527.1257984891067
2005-02-25,539.1425096576876
2005-02-28,546.1062945883517
2005-03-01,542.2969464532339
2005-03-02,527.7390570707666
2005-03-03,528.2070899468349
2005-03-04,537.3892103310108
2005-03-07,545.2359643843893
2005-03-08,546.1445813187994
2005-03-09,550.7429762914845
2005-03-10,541.1935862387706
2005-03-11,539.5152236450757
2005-03-14,529.4195449364327
2005-03-15,524.9751627976711
2005-03-16,504.4176052934494
2005-03-17,502.2680787786668
2005-03-18,506.0350988974582
2005-03-21,492.6749906164643
2005-03-22,503.4088371715755
2005-03-23,491.76686531255075
2005-03-24,498.9028781594691
2005-03-25,503.536120435204
2005-03-28,496.10295843029
2005-03-29,497.0758504001154
2005-03-30,494.9936455471853
2005-03-31,502.1361095438273
2005-04-01,509.88057436725916
2005-04-04,512.0253490398848
2005-04-05,516.3116469851732
2005-04-06,526.3901212004064
2005-04-07,526.8097617095491
2005-04-08,527.6969372361051
2005-04-11,520.0517234281955
2005-04-12,518.5511719692304
2005-04-13,520.7937799501524
2005-04-14,509.3809571023984
2005-04-15,506.82584269460216
2005-04-18,494.3016293239833
2005-04-19,494.1379911726634
2005-04-20,495.36926151723344
2005-04-21,498.0107695038678
2005-04-22,500.88893082685604
2005-04-25,502.20278533404144
2005-04-26,501.75505535751194
2005-04-27,491.2606337539783
2005-04-28,482.4176962070401
2005-04-29,483.6906146194709
2005-05-02,484.6093013430984
2005-05-03,485.30512755823287
2005-05-04,484.2658151331093
2005-05-05,488.6762893634349
2005-05-06,487.71723622716087
2005-05-09,485.76589027580434
2005-05-10,483.32220844561317
2005-05-11,479.6952354996189
2005-05-12,469.6164448221581
2005-05-13,463.97788110811354
2005-05-16,459.1115291934939
2005-05-17,462.1330738103694
2005-05-18,471.8964879350444
2005-05-19,472.64599696796506
2005-05-20,471.4081359046586
2005-05-23,472.0574639331586
2005-05-24,482.4067492805069
2005-05-25,481.6190170653892
2005-05-26,482.9404009524943
2005-05-27,487.02997910613664
2005-05-30,484.1307650549843
2005-05-31,483.2090844851929
2005-06-01,477.882200587385
2005-06-02,487.5424775187784
2005-06-03,489.6097273840561
2005-06-06,495.0330136206787
2005-06-07,494.50133607904166
2005-06-08,492.7970345311061
2005-06-09,491.4556806959719
2005-06-10,496.7047117759089
2005-06-13,495.25010676077346
2005-06-14,500.1024155970306
2005-06-15,502.56328601202046
2005-06-16,502.14094205347664
2005-06-17,507.33144729024536
2005-06-20,509.42912129652746
2005-06-21,508.8861142766163
2005-06-22,514.918594692268
2005-06-23,515.3494907599885
2005-06-24,513.1832736294338
2005-06-27,511.70665338098087
2005-06-28,511.72199029290624
2005-06-29,510.2837072608164
2005-06-30,518.311458326918
2005-07-01,524.243409861228
2005-07-04,527.1917842587083
2005-07-05,525.2787227536717
2005-07-06,535.7381576183441
2005-07-07,531.0624218642156
2005-07-08,539.496328947184
2005-07-11,539.7853092401382
2005-07-12,547.6398713854134
2005-07-13,548.2887275495641
2005-07-14,547.3138349906718
2005-07-15,541.0063561603592
2005-07-18,537.2848717771643
2005-07-19,539.0457860801124
2005-07-20,547.6180927485088
2005-07-21,546.1540418330446
2005-07-22,550.7785581113384
2005-07-25,552.5425282665454
2005-07-26,552.0634603500602
2005-07-27,558.7566450407732
2005-07-28,569.7471924154314
2005-07-29,574.6406211306565
2005-08-01,581.4576198321489
2005-08-02,591.3761382173883
2005-08-03,586.3104402987768
2005-08-04,591.9506229938648
2005-08-05,593.8528086534783
2005-08-08,603.7995597233464
