Date,EM FAR EAST IMI GROWTH
2013-08-15,1106.4800200246116
2013-08-16,1098.6823813194173
2013-08-19,1086.5377359456686
2013-08-20,1057.5270838386725
2013-08-21,1058.865260148317
2013-08-22,1053.3891383094247
2013-08-23,1057.9805386508212
2013-08-26,1065.0973050365494
2013-08-27,1050.99033318201
2013-08-28,1047.7005994387137
2013-08-29,1076.395186358427
2013-08-30,1090.4345523131565
2013-09-02,1098.9836663680262
2013-09-03,1107.3734485073958
2013-09-04,1099.9065646264369
2013-09-05,1115.3875387759776
2013-09-06,1112.9229611145543
2013-09-09,1123.0990276721195
2013-09-10,1138.393107282613
2013-09-11,1136.822590013471
2013-09-12,1136.9109941825427
2013-09-13,1135.1027325996447
2013-09-16,1144.7753451715498
2013-09-17,1140.9469190813707
2013-09-18,1134.444595577566
2013-09-19,1134.0418751821596
2013-09-20,1134.4466755011094
2013-09-23,1140.5649906319047
2013-09-24,1134.7412776963479
2013-09-25,1128.7183490117511
2013-09-26,1127.446532981951
2013-09-27,1125.3568573910977
2013-09-30,1111.579947642577
2013-10-01,1118.5337790660199
2013-10-02,1121.8035850018002
2013-10-03,1133.2237443164677
2013-10-04,1136.9294089944767
2013-10-07,1135.8114062073894
2013-10-08,1142.8917602128174
2013-10-09,1145.5550902763714
2013-10-10,1145.9837396799483
2013-10-11,1153.667597044115
2013-10-14,1147.8641345887395
2013-10-15,1167.1423892190387
2013-10-16,1161.4945835673836
2013-10-17,1151.9482567987097
2013-10-18,1162.3284850212826
2013-10-21,1165.633514825038
2013-10-22,1155.9092204493977
2013-10-23,1147.1501119279474
2013-10-24,1144.7691211778338
2013-10-25,1137.6420203243545
2013-10-28,1148.026184248605
2013-10-29,1148.2901093208652
2013-10-30,1158.9255248310692
2013-10-31,1166.546555344547
2013-11-01,1176.4633680737677
2013-11-04,1167.1032085502663
2013-11-05,1164.761596456677
2013-11-06,1156.573148114075
2013-11-07,1163.852760556246
2013-11-08,1153.4188572518296
2013-11-11,1145.366367707838
2013-11-12,1144.9402807518738
2013-11-13,1128.8334807005278
2013-11-14,1138.0595060816606
2013-11-15,1151.9479969609013
