Date,MSCI World IMI with USA Gross Index
2006-09-14,1221.0871076554376
2006-09-15,1229.3941317018523
2006-09-18,1228.148417733399
2006-09-19,1223.932247205886
2006-09-20,1228.4466604989748
2006-09-21,1227.0271501180844
2006-09-22,1213.8966834416292
2006-09-25,1222.6570648296936
2006-09-26,1235.8041761387599
2006-09-27,1240.8710610308547
2006-09-28,1244.585126177684
2006-09-29,1244.235468730201
2006-10-02,1238.3044569305307
2006-10-03,1236.537300496794
2006-10-04,1249.0755365874902
2006-10-05,1258.293632325745
2006-10-06,1262.210278997408
2006-10-09,1262.5055206207915
2006-10-10,1270.7983195353775
2006-10-11,1267.0303779883684
2006-10-12,1277.8742762614704
2006-10-13,1285.6039196310837
2006-10-16,1290.511145647201
2006-10-17,1281.4210977449166
2006-10-18,1287.326074841848
2006-10-19,1283.4367883742016
2006-10-20,1284.9121106657065
2006-10-23,1294.5020505133334
2006-10-24,1295.5240847506993
2006-10-25,1297.302310733731
2006-10-26,1297.012919562689
2006-10-27,1286.5826863451825
2006-10-30,1284.097174125581
2006-10-31,1281.343991277419
2006-11-01,1276.8818707983453
2006-11-02,1275.3078607441964
2006-11-03,1279.6740739079016
2006-11-06,1290.6782730468954
2006-11-07,1289.5466139550365
2006-11-08,1292.0607428090873
2006-11-09,1284.1523923079103
2006-11-10,1281.1984407443676
2006-11-13,1284.4073615959505
2006-11-14,1291.3686983679481
2006-11-15,1295.7732700694596
2006-11-16,1296.7107307046308
2006-11-17,1292.4915596690491
2006-11-20,1290.0364915850919
2006-11-21,1292.7071296318948
2006-11-22,1291.0499280373288
2006-11-23,1290.048150169487
2006-11-24,1275.0008129066225
2006-11-27,1258.3040859180799
2006-11-28,1256.7044136984816
2006-11-29,1271.4583028707718
2006-11-30,1266.426909892358
2006-12-01,1257.2751571017807
2006-12-04,1266.6830305852711
2006-12-05,1272.9894331964106
2006-12-06,1273.9667407653842
2006-12-07,1275.2646095791226
2006-12-08,1273.9352167985728
2006-12-11,1283.249790192198
2006-12-12,1282.2339440161907
2006-12-13,1286.9793341799855
2006-12-14,1299.6666737612823
2006-12-15,1307.6754061594245
2006-12-18,1305.9357516150894
2006-12-19,1295.662541833302
2006-12-20,1297.963403348639
2006-12-21,1296.0846391969492
2006-12-22,1291.702137448587
2006-12-25,1291.1079530114387
2006-12-26,1295.7333034256146
2006-12-27,1307.0542682336052
2006-12-28,1305.561888602641
2006-12-29,1298.4276414653586
2007-01-01,1298.4276414653586
2007-01-02,1298.4256587395873
2007-01-03,1301.5489659547843
2007-01-04,1308.2283158226983
2007-01-05,1304.919622673062
2007-01-08,1305.2673568263933
2007-01-09,1307.2621305777182
2007-01-10,1306.5621023087544
2007-01-11,1321.2351934769913
2007-01-12,1327.8092675435023
2007-01-15,1332.8544338615786
2007-01-16,1330.3159970818167
2007-01-17,1328.9119554853794
2007-01-18,1325.7830117055212
2007-01-19,1331.8131833755638
2007-01-22,1327.623440591061
2007-01-23,1325.9476523506355
2007-01-24,1341.3396561798525
2007-01-25,1330.7752231346788
2007-01-26,1331.7643384163355
2007-01-29,1330.5105984861812
2007-01-30,1335.2541433799206
2007-01-31,1334.796143804805
2007-02-01,1344.6822647014799
2007-02-02,1351.2901925303825
2007-02-05,1353.6171471989032
2007-02-06,1355.751634301856
2007-02-07,1353.6936875562958
2007-02-08,1346.7773495007343
2007-02-09,1348.1118759819387
2007-02-12,1345.3020024923082
2007-02-13,1349.8836320264454
2007-02-14,1352.5620426544356
2007-02-15,1355.450614662438
2007-02-16,1356.0739725227986
2007-02-19,1356.5985723351748
2007-02-20,1356.721528282826
2007-02-21,1354.8285581127532
2007-02-22,1358.9522396846708
2007-02-23,1355.4952841937022
2007-02-26,1357.3829677781387
2007-02-27,1315.8333146605974
2007-02-28,1308.6654397021898
2007-03-01,1305.5857549464588
2007-03-02,1294.3778051143338
2007-03-05,1280.3688064822154
2007-03-06,1298.2177903860047
2007-03-07,1297.6599717300905
2007-03-08,1311.4921728620702
2007-03-09,1314.5979962132371
2007-03-12,1312.3517367037282
2007-03-13,1292.4876665219126
2007-03-14,1279.0008752166807
2007-03-15,1290.131141802453
2007-03-16,1282.9161752745752
2007-03-19,1297.9882772967665
2007-03-20,1307.9024956792446
2007-03-21,1320.2110452853121
2007-03-22,1325.6923927473167
2007-03-23,1333.2061729091886
2007-03-26,1328.8664898226846
2007-03-27,1322.1935073828677
2007-03-28,1314.0072734262292
2007-03-29,1321.9196306475276
2007-03-30,1323.279010589802
2007-04-02,1320.4464692010613
2007-04-03,1332.5808120669644
2007-04-04,1337.3988022850972
2007-04-05,1335.2922186942444
2007-04-06,1334.9710446849383
2007-04-09,1340.866487352621
2007-04-10,1341.1815558742894
2007-04-11,1337.0136523406552
2007-04-12,1335.6848878256694
2007-04-13,1338.0026955240694
2007-04-16,1349.73555492036
2007-04-17,1349.4257988631718
2007-04-18,1349.4081716703665
2007-04-19,1341.5982189870876
2007-04-20,1354.4109698770328
2007-04-23,1354.861632557625
2007-04-24,1346.670315645571
2007-04-25,1352.7135448092806
2007-04-26,1357.001332901797
2007-04-27,1350.8790536461274
2007-04-30,1346.069006300002
2007-05-01,1349.4436670995265
2007-05-02,1358.8879638237622
2007-05-03,1365.401698134518
2007-05-04,1370.0945266588053
2007-05-07,1373.2328105275196
2007-05-08,1375.3149450748065
2007-05-09,1378.7873029012724
2007-05-10,1367.471340075025
2007-05-11,1374.69119527828
2007-05-14,1371.9994287606721
2007-05-15,1366.6499823638003
2007-05-16,1372.525528026157
2007-05-17,1378.6978633201986
2007-05-18,1386.36259474826
2007-05-21,1392.4162396830607
2007-05-22,1394.1151407331151
2007-05-23,1395.9616871170451
2007-05-24,1387.71130642866
2007-05-25,1388.0506289874756
2007-05-28,1389.7138289554057
2007-05-29,1391.4504229403337
2007-05-30,1399.954548918325
2007-05-31,1404.9785378527536
2007-06-01,1416.4735738126546
2007-06-04,1413.9841620121726
2007-06-05,1405.0135509238362
2007-06-06,1393.7897851182374
2007-06-07,1376.9522398275315
2007-06-08,1388.3258935450956
2007-06-11,1394.5360177248479
2007-06-12,1385.65110269463
2007-06-13,1396.7937649824082
2007-06-14,1407.8832532043396
2007-06-15,1416.6746222038225
2007-06-18,1413.6939673702989
2007-06-19,1412.6776573027196
2007-06-20,1404.1156203637106
2007-06-21,1405.5467049456997
2007-06-22,1392.2518002511713
2007-06-25,1385.214908529481
2007-06-26,1379.6161090088758
2007-06-27,1383.678719991356
2007-06-28,1387.8000426078074
2007-06-29,1388.5202823735215
2007-07-02,1389.0606951281595
2007-07-03,1397.34497068365
2007-07-04,1398.8059740247895
2007-07-05,1398.9472129207031
2007-07-06,1401.910009701308
2007-07-09,1406.169330862494
2007-07-10,1385.6207755298801
2007-07-11,1382.0579854000648
2007-07-12,1400.564422812857
2007-07-13,1407.309372119248
2007-07-16,1405.9710321930506
2007-07-17,1402.7223094905357
2007-07-18,1394.0377029037081
2007-07-19,1401.935252355273
2007-07-20,1389.9709781026172
2007-07-23,1393.9499611628921
2007-07-24,1373.129194451251
2007-07-25,1378.080071405493
2007-07-26,1346.2299343037657
2007-07-27,1332.0448027464686
2007-07-30,1337.134681455317
2007-07-31,1338.2186085840922
2007-08-01,1331.460990757706
2007-08-02,1339.0995585953765
2007-08-03,1310.1742035549503
2007-08-06,1316.6219458864553
2007-08-07,1327.3338827705736
2007-08-08,1344.3899954768258
2007-08-09,1326.707085807149
2007-08-10,1310.1446903601834
2007-08-13,1322.7907118630892
2007-08-14,1307.8432715769031
2007-08-15,1297.6631509377007
2007-08-16,1286.4569109902407
2007-08-17,1296.574631793019
2007-08-20,1308.3798504623285
2007-08-21,1312.342174596335
2007-08-22,1326.4849296625905
2007-08-23,1327.3292618735866
2007-08-24,1332.167323403825
2007-08-27,1328.268086643397
2007-08-28,1304.3469932989817
2007-08-29,1318.1428976695668
2007-08-30,1321.9845175135613
2007-08-31,1340.7081664432862
2007-09-03,1343.9981622637927
2007-09-04,1355.3650663707401
2007-09-05,1334.8499423053745
2007-09-06,1336.8075383150442
2007-09-07,1312.5317909756998
2007-09-10,1301.6194496533938
2007-09-11,1315.9117101203065
2007-09-12,1314.4617397586137
2007-09-13,1321.7856704648675
2007-09-14,1321.0662463418312
2007-09-17,1310.2599771928417
2007-09-18,1331.998449716078
2007-09-19,1348.8316771024486
2007-09-20,1336.263763555711
2007-09-21,1338.9701523244737
2007-09-24,1337.0779042653958
2007-09-25,1332.6532606612845
2007-09-26,1339.1835460449977
