Date,ACFM AMERICA INDEX
2014-07-24,2325.649203806461
2014-07-25,2321.5758717830067
2014-07-28,2320.4037486841735
2014-07-29,2315.3114350772066
2014-07-30,2320.613677187145
2014-07-31,2275.7047869727835
2014-08-01,2260.8613619605694
2014-08-04,2277.3483002587895
2014-08-05,2264.960506995271
2014-08-06,2267.6678445607836
2014-08-07,2256.422714420542
2014-08-08,2267.439166996047
2014-08-11,2281.310773491009
2014-08-12,2282.9998304577257
2014-08-13,2292.997388943073
2014-08-14,2302.7432800061442
2014-08-15,2303.6008138147718
2014-08-18,2326.278936365169
2014-08-19,2346.383648640969
2014-08-20,2358.249095217718
2014-08-21,2364.917099080816
2014-08-22,2368.8228892397906
2014-08-25,2386.699146074316
2014-08-26,2388.7096604974545
2014-08-27,2391.8529439721833
2014-08-28,2393.038341054367
2014-08-29,2403.483778394379
2014-09-01,2409.470457318433
2014-09-02,2410.6671104923444
2014-09-03,2408.4755236925166
2014-09-04,2435.4486991727626
2014-09-05,2446.814830845342
2014-09-08,2440.3199930390447
2014-09-09,2429.460869207846
2014-09-10,2435.915285903632
2014-09-11,2434.0808078182845
2014-09-12,2418.1657948640823
2014-09-15,2415.4640221126792
2014-09-16,2433.0572327340146
2014-09-17,2433.401600966239
2014-09-18,2449.7177284482545
2014-09-19,2460.95837105648
2014-09-22,2441.5749572481386
2014-09-23,2419.865466112418
2014-09-24,2448.4505637497086
2014-09-25,2419.255104641631
2014-09-26,2449.4759709472696
2014-09-29,2442.1581613611825
2014-09-30,2445.536518769457
2014-10-01,2419.7098738044647
2014-10-02,2408.997684109614
2014-10-03,2459.97203343352
2014-10-06,2450.5026199871627
2014-10-07,2404.4410701143165
2014-10-08,2430.569911107845
2014-10-09,2380.35914387516
2014-10-10,2364.492424654387
2014-10-13,2321.4743362177296
2014-10-14,2324.7193993573933
2014-10-15,2286.701840649434
2014-10-16,2284.513027135547
2014-10-17,2317.5586321279648
2014-10-20,2333.4504738444175
2014-10-21,2386.2480745365697
2014-10-22,2378.9067360016575
2014-10-23,2408.5718534694083
2014-10-24,2423.062314646095
2014-10-27,2407.3314092338683
2014-10-28,2432.427381320544
2014-10-29,2425.542818560797
2014-10-30,2466.953582545269
2014-10-31,2513.4550870340922
2014-11-03,2519.099623191469
2014-11-04,2490.9841528096495
2014-11-05,2521.8532339415574
2014-11-06,2539.953466400797
2014-11-07,2548.5894187593694
2014-11-10,2550.1415781731625
2014-11-11,2554.8355654715097
2014-11-12,2545.8306059822976
2014-11-13,2544.448990922758
2014-11-14,2544.5474807653795
2014-11-17,2550.5233280901334
2014-11-18,2549.5050810112507
2014-11-19,2545.6557176838032
2014-11-20,2552.557342328948
2014-11-21,2596.6191251739097
2014-11-24,2595.7700221449754
2014-11-25,2584.479684115807
2014-11-26,2582.4673593300186
2014-11-27,2589.33327228319
2014-11-28,2580.706013415237
2014-12-01,2558.2562757420837
2014-12-02,2586.881688933886
2014-12-03,2616.586285861359
2014-12-04,2584.527294274357
2014-12-05,2616.9921660482178
2014-12-08,2594.5468876562204
2014-12-09,2567.3180700446437
2014-12-10,2523.8861836497927
2014-12-11,2540.4545530542423
2014-12-12,2483.3923122725923
2014-12-15,2473.1583222141294
2014-12-16,2437.8582625697395
2014-12-17,2513.307675643542
2014-12-18,2596.1734267541106
2014-12-19,2613.366720340759
2014-12-22,2623.677222245138
2014-12-23,2647.7726602193297
2014-12-24,2644.773531095498
2014-12-25,2644.773531095498
2014-12-26,2656.7887547695805
2014-12-29,2657.9289008379014
2014-12-30,2649.236773378536
2014-12-31,2638.9431274557846
2015-01-01,2638.9431274557846
2015-01-02,2651.0192067474077
2015-01-05,2619.8854557733916
2015-01-06,2601.6765485011633
2015-01-07,2656.6074727390187
2015-01-08,2706.267236281397
2015-01-09,2674.78939863647
2015-01-12,2655.307769418279
2015-01-13,2657.2841798186614
2015-01-14,2640.192234306231
2015-01-15,2663.0519730099136
2015-01-16,2719.832815961945
2015-01-19,2687.411653767699
2015-01-20,2703.547762706228
2015-01-21,2715.5604210780352
2015-01-22,2797.3512684011844
2015-01-23,2823.2569838588915
2015-01-26,2829.297699393145
2015-01-27,2762.280085677521
2015-01-28,2737.7964987464184
2015-01-29,2759.694631677105
2015-01-30,2736.6232164496114
2015-02-02,2758.5241031965193
2015-02-03,2774.7062280884693
2015-02-04,2768.573228534697
2015-02-05,2797.855301587321
2015-02-06,2808.720859700414
2015-02-09,2801.285716227988
2015-02-10,2829.1018924996833
2015-02-11,2832.1077145400227
2015-02-12,2845.587118184861
2015-02-13,2852.5932686170972
2015-02-16,2851.3445742594695
2015-02-17,2858.1263835911336
2015-02-18,2866.5370211592217
2015-02-19,2855.32657785616
2015-02-20,2876.7557546751755
2015-02-23,2879.2669663277825
2015-02-24,2890.5745011327986
2015-02-25,2887.0822187156923
2015-02-26,2919.9898588717783
2015-02-27,2911.3559428950925
2015-03-02,2932.0743993361407
2015-03-03,2922.550720412774
2015-03-04,2938.919180899572
2015-03-05,2953.28798455744
2015-03-06,2955.2585863001473
2015-03-09,2967.573494279451
2015-03-10,2955.3224632174206
2015-03-11,2988.64003285114
2015-03-12,3013.051382449008
2015-03-13,3019.5243675168713
2015-03-16,3043.3579488935147
2015-03-17,3028.254803419245
2015-03-18,3052.6729475851153
2015-03-19,3044.2534185875847
2015-03-20,3025.3254324892637
2015-03-23,2985.675098832824
2015-03-24,2976.248230687528
2015-03-25,2912.668673424498
2015-03-26,2923.167489201158
2015-03-27,2934.6226125984285
2015-03-30,2984.5130144236678
2015-03-31,2987.068549027079
2015-04-01,2974.763503717775
2015-04-02,2953.801109113908
2015-04-03,2953.801109113908
2015-04-06,2936.173999340775
2015-04-07,2977.2933354195525
2015-04-08,3004.826524532854
2015-04-09,3049.9796752615357
2015-04-10,3080.0080093069655
2015-04-13,3081.8469329177387
2015-04-14,3053.2010591634216
2015-04-15,3094.667560751273
2015-04-16,3069.182982742185
2015-04-17,3014.744050889798
2015-04-20,3045.950480109671
2015-04-21,3044.7408100093917
2015-04-22,3064.1781332094943
2015-04-23,3053.00946676912
2015-04-24,3041.7731196570317
2015-04-27,3025.6488159971254
2015-04-28,3006.801942815007
2015-04-29,2951.876931788661
2015-04-30,2905.529858738021
2015-05-01,2929.3027976890094
2015-05-04,2954.2727771858135
2015-05-05,2916.3757785941893
2015-05-06,2861.5949571516185
2015-05-07,2892.7093351725694
2015-05-08,2941.0968808414377
2015-05-11,2945.5534088740696
2015-05-12,2912.3090194983483
2015-05-13,2883.963741741901
2015-05-14,2906.432653199488
2015-05-15,2895.0848737189162
2015-05-18,2920.00902480274
2015-05-19,2978.2013428483833
2015-05-20,2982.8646265839584
2015-05-21,2986.7297772380216
2015-05-22,3005.2361233036136
2015-05-25,3005.196812340576
2015-05-26,3005.8006601793395
2015-05-27,3036.6711055479327
2015-05-28,3021.009152532201
2015-05-29,2989.4098513117124
2015-06-01,3012.7501782191457
2015-06-02,2951.027418435705
2015-06-03,2921.6356365772986
2015-06-04,2892.047383733443
2015-06-05,2932.7446567242605
2015-06-08,2888.919608856247
2015-06-09,2882.7787392485925
2015-06-10,2902.187504188576
2015-06-11,2923.8157616870503
2015-06-12,2895.8441171526792
2015-06-15,2886.939777882784
2015-06-16,2907.4926818888343
2015-06-17,2912.7413223648277
2015-06-18,2899.5114914936385
2015-06-19,2901.115967384833
2015-06-22,2901.7379413542712
2015-06-23,2959.2286133915027
2015-06-24,2938.033604147994
2015-06-25,2927.170013168145
2015-06-26,2938.7209992841135
2015-06-29,2874.7783877965026
2015-06-30,2884.9104810626914
2015-07-01,2912.41313435027
2015-07-02,2912.4330948327042
