Date,ACWI ex SPAIN
2019-09-09,2992.5255498411043
2019-09-10,2997.1802498450456
2019-09-11,3031.075144968801
2019-09-12,3032.92166935964
2019-09-13,3024.701561354713
2019-09-16,3036.965084446185
2019-09-17,3027.18717121894
2019-09-18,3024.396991498889
2019-09-19,3027.919970462542
2019-09-20,3033.1802636031734
2019-09-23,3031.1966986719
2019-09-24,3015.103831278829
2019-09-25,3027.128310019377
2019-09-26,3031.707462385793
2019-09-27,3019.684734605814
2019-09-30,3037.7159096831515
2019-10-01,3006.0539674021074
2019-10-02,2949.969614900336
2019-10-03,2953.140389649606
2019-10-04,2983.6546672155127
2019-10-07,2975.9061126626484
2019-10-08,2952.436500506703
2019-10-09,2962.659516510414
2019-10-10,2970.2057503664255
2019-10-11,3004.8629320036775
2019-10-14,3004.9339157057448
2019-10-15,3028.1730710806146
2019-10-16,3024.689820750623
2019-10-17,3016.5452443172267
2019-10-18,3000.660940059158
2019-10-21,3017.2545736284496
2019-10-22,3017.3353829531275
2019-10-23,3025.3291973060495
2019-10-24,3039.755051005677
2019-10-25,3051.593281324805
2019-10-28,3064.234413866912
2019-10-29,3059.5245496623515
2019-10-30,3063.1554158548593
2019-10-31,3049.7984005075527
2019-11-01,3071.159049870432
2019-11-04,3091.5138373684194
2019-11-05,3114.0047277810972
2019-11-06,3116.0632159070246
2019-11-07,3133.2042485335573
2019-11-08,3139.9315698537657
2019-11-11,3129.095940803972
2019-11-12,3141.3873088428873
2019-11-13,3136.3801610784444
2019-11-14,3135.2444315277144
2019-11-15,3144.614644087726
2019-11-18,3141.2320195140737
2019-11-19,3142.385661543121
2019-11-20,3132.590307338396
2019-11-21,3121.7756102082285
2019-11-22,3139.531037869457
2019-11-25,3168.150699903292
2019-11-26,3170.6277179785397
2019-11-27,3186.61842029794
2019-11-28,3182.788920662107
2019-11-29,3161.9916906057906
2019-12-02,3129.9519346541842
2019-12-03,3109.6983117712034
2019-12-04,3123.1303573415776
2019-12-05,3128.2792220142665
2019-12-06,3164.4133185180176
2019-12-09,3154.798052823191
2019-12-10,3145.2179127771965
2019-12-11,3155.7307055067413
2019-12-12,3168.4736065789634
2019-12-13,3181.4932596675917
2019-12-16,3202.8168783957913
2019-12-17,3202.5281991312895
2019-12-18,3208.9236103776984
2019-12-19,3220.047229981781
2019-12-20,3240.850470876971
2019-12-23,3242.6846732019985
2019-12-24,3242.618951867099
2019-12-25,3241.8861543429953
2019-12-26,3251.573074965969
2019-12-27,3241.5339254938012
2019-12-30,3216.132783609413
2019-12-31,3215.146610444277
2020-01-01,3215.148580476253
2020-01-02,3247.753192158831
2020-01-03,3241.535087570731
2020-01-06,3232.2435957776174
2020-01-07,3245.200263299369
2020-01-08,3255.573981295277
2020-01-09,3283.208200601822
2020-01-10,3278.7911157065637
2020-01-13,3289.448067624596
2020-01-14,3293.6296387207294
2020-01-15,3286.993870881619
2020-01-16,3307.9913284819677
2020-01-17,3335.404178451377
2020-01-20,3338.3317220059166
2020-01-21,3319.9884147021066
2020-01-22,3330.464666123592
2020-01-23,3330.7285272128183
2020-01-24,3322.6464512854386
2020-01-27,3272.773964926473
2020-01-28,3295.832384060998
2020-01-29,3295.9473029441797
2020-01-30,3274.590268176822
2020-01-31,3221.106433974773
2020-02-03,3238.438076238134
2020-02-04,3291.7777933720613
2020-02-05,3330.5133458892033
2020-02-06,3357.057407560652
2020-02-07,3343.0920251912985
2020-02-10,3364.3046266497854
2020-02-11,3381.565520373627
2020-02-12,3408.5145942024283
2020-02-13,3416.7047353209914
2020-02-14,3419.701908832346
2020-02-17,3424.0819904133
2020-02-18,3410.5072500596584
2020-02-19,3435.657231034729
2020-02-20,3415.953182849249
2020-02-21,3375.021255732597
2020-02-24,3274.299710271793
2020-02-25,3196.516119700205
2020-02-26,3177.702221845962
2020-02-27,3039.3919164717545
2020-02-28,2987.017515656499
2020-03-02,3038.2088407239676
2020-03-03,2989.7676676767396
2020-03-04,3080.684717623002
2020-03-05,3007.935204345457
2020-03-06,2914.95745579211
2020-03-09,2683.63258057089
2020-03-10,2775.8051273504743
2020-03-11,2690.0459272858625
2020-03-12,2478.8600751036784
2020-03-13,2613.1350769613196
2020-03-16,2359.3079488024546
2020-03-17,2478.554220262208
2020-03-18,2383.079584307289
2020-03-19,2420.234166596044
2020-03-20,2381.8734395720576
2020-03-23,2288.234592559381
2020-03-24,2472.057951796332
2020-03-25,2530.4744292196247
2020-03-26,2602.037855365948
2020-03-27,2532.246365257034
2020-03-30,2591.236477218429
2020-03-31,2588.7120772093967
2020-04-01,2504.195340390034
2020-04-02,2549.532044520428
2020-04-03,2529.752889626511
2020-04-06,2672.8148705440503
2020-04-07,2674.0957915998392
2020-04-08,2733.9600140401067
2020-04-09,2758.0761880652676
2020-04-10,2759.908551715709
2020-04-13,2748.8012924233176
2020-04-14,2798.4844066773667
2020-04-15,2754.7957087306877
2020-04-16,2773.272737989117
2020-04-17,2835.487791585858
2020-04-20,2807.487886668193
2020-04-21,2728.260086426085
2020-04-22,2785.895472150642
2020-04-23,2794.733965540018
2020-04-24,2811.3388268962426
2020-04-27,2853.8165559493214
2020-04-28,2859.5725928736647
2020-04-29,2919.2810870745293
2020-04-30,2872.9236845549626
2020-05-01,2796.114197047377
2020-05-04,2801.203579871779
2020-05-05,2849.4052294087032
2020-05-06,2849.0358955273027
2020-05-07,2877.7673245854276
2020-05-08,2902.926817871173
2020-05-11,2916.262159868421
2020-05-12,2867.147061514977
2020-05-13,2832.3969295126485
2020-05-14,2838.5299163268746
2020-05-15,2848.643870768115
2020-05-18,2918.045240818882
2020-05-19,2889.8650241796895
2020-05-20,2918.2743015324722
2020-05-21,2909.372830341801
2020-05-22,2911.351642864857
2020-05-25,2924.968686339137
2020-05-26,2946.1096933173108
2020-05-27,2977.091273775989
2020-05-28,2968.2224965548126
2020-05-29,2951.9290524941503
2020-06-01,2975.5459441518783
2020-06-02,2997.069370954564
2020-06-03,3037.5202156661016
2020-06-04,2999.9192209896482
2020-06-05,3070.310023824598
2020-06-08,3101.0922986448463
2020-06-09,3072.39697309471
2020-06-10,3065.0074201756947
2020-06-11,2916.755817632524
2020-06-12,2961.913430247505
2020-06-15,2955.549863756964
2020-06-16,3031.058266281192
2020-06-17,3035.4912763588645
2020-06-18,3034.318860214926
2020-06-19,3038.6548254022323
2020-06-22,3031.8451745396364
2020-06-23,3035.8853025621893
2020-06-24,2983.515938127482
2020-06-25,3013.7377882997885
2020-06-26,2971.1558129943915
2020-06-29,2981.4745988525233
2020-06-30,3016.7486096059974
2020-07-01,3022.687899942316
2020-07-02,3059.752776439449
2020-07-03,3058.312358001415
2020-07-06,3093.2863514543574
2020-07-07,3074.3789980098018
2020-07-08,3081.0880038378027
2020-07-09,3080.5541101487806
2020-07-10,3092.348673588005
2020-07-13,3072.2035145962977
2020-07-14,3080.5086494588795
2020-07-15,3110.9171670966844
2020-07-16,3088.058529536641
2020-07-17,3100.2725073100123
2020-07-20,3121.4439139697565
2020-07-21,3126.2634050086845
2020-07-22,3102.499932845547
2020-07-23,3079.1399245849607
2020-07-24,3046.0654591498833
2020-07-27,3034.27390339701
2020-07-28,3036.4008452918556
2020-07-29,3049.204052638478
2020-07-30,3025.151585269942
2020-07-31,3017.8509052187187
2020-08-03,3061.921397877987
2020-08-04,3076.179728357505
2020-08-05,3069.7972838270466
2020-08-06,3086.542895623296
2020-08-07,3090.602390435178
2020-08-10,3100.863984597632
2020-08-11,3100.6315362378355
2020-08-12,3128.7449092644324
2020-08-13,3119.8154617512996
2020-08-14,3114.6689622217186
2020-08-17,3118.360362431417
2020-08-18,3112.7052566145517
2020-08-19,3110.539308161814
2020-08-20,3113.9106808864185
2020-08-21,3138.0089752328345
2020-08-24,3163.3705342741855
2020-08-25,3169.882013278678
2020-08-26,3199.862509503497
2020-08-27,3203.129671670217
2020-08-28,3191.7275196451405
2020-08-31,3167.3999957845094
2020-09-01,3186.373054181977
2020-09-02,3250.2521509125695
2020-09-03,3169.3120612132743
2020-09-04,3146.6055909900365
2020-09-07,3146.665837915237
2020-09-08,3091.755733418037
2020-09-09,3132.1240628726587
2020-09-10,3086.03169987714
2020-09-11,3099.337422997897
2020-09-14,3125.8101062148426
2020-09-15,3147.6707001952673
2020-09-16,3149.947613270108
2020-09-17,3129.1489969335544
2020-09-18,3098.380646390085
2020-09-21,3078.9271181812846
2020-09-22,3102.6141071013644
2020-09-23,3065.207896268044
2020-09-24,3060.6117222824564
2020-09-25,3098.176583654142
2020-09-28,3141.082079811975
2020-09-29,3111.7278276705124
2020-09-30,3126.6432796215636
2020-10-01,3140.3725025030826
2020-10-02,3124.4640571949217
2020-10-05,3154.653671703317
2020-10-06,3134.4349744910905
2020-10-07,3175.672241119154
