Date,MSCI ACWI ex USA ex China ex Hong Kong Index
2020-12-18,1123.3428056547184
2020-12-21,1106.6424232099157
2020-12-22,1109.2533324649778
2020-12-23,1117.8558950318798
2020-12-24,1122.2929515932324
2020-12-25,1122.8811034052455
2020-12-28,1126.502463625977
2020-12-29,1135.9362940188073
2020-12-30,1133.8501171954122
2020-12-31,1134.1494747666645
2021-01-01,1134.30554351164
2021-01-04,1140.048647990922
2021-01-05,1141.896843571517
2021-01-06,1148.2146835514327
2021-01-07,1159.2346920628404
2021-01-08,1174.4013633429363
2021-01-11,1172.8332880368728
2021-01-12,1174.0084012057278
2021-01-13,1178.1772528470776
2021-01-14,1186.1074642521573
2021-01-15,1175.9599938042109
2021-01-18,1174.5746681741912
2021-01-19,1176.348078393498
2021-01-20,1184.1808870506359
2021-01-21,1185.2116760815147
2021-01-22,1174.7828666645225
2021-01-25,1174.0322939880655
2021-01-26,1170.4712121252153
2021-01-27,1163.720759862068
2021-01-28,1154.9083486517748
2021-01-29,1132.8369941523983
2021-02-01,1150.8313239397628
2021-02-02,1167.8819840355109
2021-02-03,1175.969203026463
2021-02-04,1177.689279023557
2021-02-05,1182.1611603760225
2021-02-08,1189.5968754797577
2021-02-09,1188.6977234190463
2021-02-10,1188.4733856892858
2021-02-11,1191.1129441392281
2021-02-12,1195.4494233524267
2021-02-15,1207.8132945015943
2021-02-16,1209.41035787748
2021-02-17,1207.977508248253
2021-02-18,1197.5630935937609
2021-02-19,1198.1446610897115
2021-02-22,1193.7675176493497
2021-02-23,1191.586234593579
2021-02-24,1188.8059086272108
2021-02-25,1187.0848783887084
2021-02-26,1160.7132514183354
2021-03-01,1183.739354274869
2021-03-02,1186.0359395534754
2021-03-03,1189.9481653950086
2021-03-04,1182.5901228045718
2021-03-05,1183.332591131783
2021-03-08,1193.490653765416
2021-03-09,1200.1545878341512
2021-03-10,1204.033240378135
2021-03-11,1210.3648127932895
2021-03-12,1213.8225949315809
2021-03-15,1216.1134059374544
2021-03-16,1225.4881495994782
2021-03-17,1219.7146474463239
2021-03-18,1225.2130139588205
2021-03-19,1218.6738639572973
2021-03-22,1215.9453818377947
2021-03-23,1213.66276448439
2021-03-24,1207.8429233875859
2021-03-25,1211.1397539192412
2021-03-26,1222.4931118722245
2021-03-29,1227.0238015780017
2021-03-30,1232.7146453331152
2021-03-31,1227.5030479936909
2021-04-01,1234.6164751205968
2021-04-02,1237.161289001337
2021-04-05,1239.3739499131539
2021-04-06,1240.1479050038017
2021-04-07,1237.2824745675427
2021-04-08,1242.4491423511006
2021-04-09,1241.8714793418462
2021-04-12,1235.0210738068997
2021-04-13,1236.3477833753882
2021-04-14,1238.8926865906594
2021-04-15,1246.5702872511965
2021-04-16,1252.7692952238663
2021-04-19,1250.2889969148475
2021-04-20,1232.7098666457782
2021-04-21,1231.7086109752993
2021-04-22,1240.41418697845
2021-04-23,1238.7692230319917
2021-04-26,1243.9795152442941
2021-04-27,1241.0630435746762
2021-04-28,1242.7765124186806
2021-04-29,1240.7255447274183
2021-04-30,1236.210449873384
2021-05-03,1237.2915684983493
2021-05-04,1229.713522452341
