Date,ACWI ex THAILAND
2018-06-07,2710.5654679601366
2018-06-08,2720.448352531865
2018-06-11,2719.624701594703
2018-06-12,2726.035975640297
2018-06-13,2722.076714515121
2018-06-14,2750.5346699092397
2018-06-15,2746.1320296773692
2018-06-18,2735.47830130605
2018-06-19,2724.9516909439712
2018-06-20,2731.1033263929767
2018-06-21,2707.5210743573252
2018-06-22,2712.7873067425567
2018-06-25,2664.078345031468
2018-06-26,2671.05131402255
2018-06-27,2669.1546789975314
2018-06-28,2676.099865090186
2018-06-29,2671.482751823014
2018-07-02,2676.199920595568
2018-07-03,2665.81198360706
2018-07-04,2666.7091932423064
2018-07-05,2669.473475257924
2018-07-06,2678.512378952008
2018-07-09,2702.7723187760225
2018-07-10,2717.2776700711356
2018-07-11,2692.9996786197194
2018-07-12,2718.5761584689403
2018-07-13,2728.388119889532
2018-07-16,2715.57417116139
2018-07-17,2727.5745425945192
2018-07-18,2741.1402336841365
2018-07-19,2737.549842255923
2018-07-20,2722.84704018381
2018-07-23,2723.756170790257
2018-07-24,2739.919531907678
2018-07-25,2762.015859390526
2018-07-26,2765.727848817656
2018-07-27,2761.7235442177594
2018-07-30,2738.4783534413027
2018-07-31,2745.8439968136267
2018-08-01,2747.9347873630118
2018-08-02,2754.9096062624876
2018-08-03,2771.01975029832
2018-08-06,2780.46098634396
2018-08-07,2785.713050569533
2018-08-08,2782.1557859541936
2018-08-09,2787.58287852183
2018-08-10,2789.717804548184
2018-08-13,2773.72891111158
2018-08-14,2795.903544234309
2018-08-15,2780.1700350511223
2018-08-16,2778.8663083254887
2018-08-17,2783.3054448657176
2018-08-20,2789.1288117690115
2018-08-21,2778.97824865241
2018-08-22,2766.65983208973
2018-08-23,2764.011314234572
2018-08-24,2766.3109523537037
2018-08-27,2782.5492523360995
2018-08-28,2775.7238656493537
2018-08-29,2790.1243382121825
2018-08-30,2784.8026515776737
2018-08-31,2782.891636683492
2018-09-03,2780.0270090522704
