Date,EM ASIA ESG LEADERS
2019-04-08,2486.115794689456
2019-04-09,2499.3696633225704
2019-04-10,2507.4691940635366
2019-04-11,2490.073362113997
2019-04-12,2491.1878637759264
2019-04-15,2485.694648238401
2019-04-16,2503.358361646328
2019-04-17,2514.055994625859
2019-04-18,2517.025856885066
2019-04-19,2518.695659432722
2019-04-22,2505.302035405343
2019-04-23,2522.3585131218383
2019-04-24,2517.493184190667
2019-04-25,2510.0326008481097
2019-04-26,2500.4290430241567
2019-04-29,2514.3620478700986
2019-04-30,2498.4924860948477
2019-05-01,2496.249069931678
2019-05-02,2515.3548076749566
2019-05-03,2523.5249157231046
2019-05-06,2469.5202798228106
2019-05-07,2469.2242366405503
2019-05-08,2450.4850772234904
2019-05-09,2396.460907962261
2019-05-10,2402.8226838757946
2019-05-13,2365.529911947598
2019-05-14,2357.311755779431
2019-05-15,2367.072212630592
2019-05-16,2355.7580021449803
2019-05-17,2328.066483096596
2019-05-20,2307.461158510319
2019-05-21,2304.4506862126254
2019-05-22,2301.9238743988185
2019-05-23,2271.1830059732806
2019-05-24,2269.706516535759
2019-05-27,2276.2334276315596
2019-05-28,2281.8865364994235
2019-05-29,2271.620889230799
2019-05-30,2285.6193302483243
2019-05-31,2295.240433814628
2019-06-03,2310.428654564271
2019-06-04,2296.276616259816
2019-06-05,2293.0263863741206
2019-06-06,2282.050676516059
2019-06-07,2275.2640785494164
2019-06-10,2323.6291980640085
2019-06-11,2342.278944944505
2019-06-12,2326.8238458237242
2019-06-13,2326.2434293213323
2019-06-14,2315.4763627357415
2019-06-17,2306.3657193061713
2019-06-18,2339.809723037552
2019-06-19,2376.478351642317
2019-06-20,2392.095597298389
2019-06-21,2381.084680510324
2019-06-24,2371.2699781735346
2019-06-25,2358.239004073633
2019-06-26,2361.1638034453013
2019-06-27,2387.865830919256
2019-06-28,2378.7198167123106
2019-07-01,2419.598030673971
2019-07-02,2439.761448048891
2019-07-03,2427.8757655887503
2019-07-04,2435.1446767082443
2019-07-05,2437.0071422790675
2019-07-08,2398.7253524480507
2019-07-09,2393.4553530828375
2019-07-10,2395.6750507838283
2019-07-11,2410.3852124422538
2019-07-12,2405.3914783155656
2019-07-15,2432.089862173513
2019-07-16,2448.1910390221788
2019-07-17,2440.603789503527
2019-07-18,2427.589239505115
2019-07-19,2444.7254662453215
2019-07-22,2436.8255504887097
2019-07-23,2461.3676220814737
2019-07-24,2466.2370970245966
2019-07-25,2468.839775271574
2019-07-26,2459.8606532207186
2019-07-29,2453.30290002444
2019-07-30,2445.210894686424
2019-07-31,2433.118149885041
2019-08-01,2421.774855261256
2019-08-02,2362.9408102224843
2019-08-05,2276.9235626501136
2019-08-06,2275.126113938222
2019-08-07,2271.7005800831
2019-08-08,2306.0194776870167
2019-08-09,2295.4986742765395
2019-08-12,2288.986052935382
2019-08-13,2268.510405866644
2019-08-14,2294.1849176004716
2019-08-15,2297.956234345622
2019-08-16,2317.6686172312257
2019-08-19,2349.686502856469
2019-08-20,2348.5897320652866
2019-08-21,2345.1655430691644
2019-08-22,2333.3746774070123
2019-08-23,2328.599701983078
2019-08-26,2304.3386084251592
2019-08-27,2314.7400008272457
2019-08-28,2317.750159700454
2019-08-29,2333.909801028568
2019-08-30,2380.25806022855
2019-09-02,2392.7785062953017
2019-09-03,2360.337402799008
2019-09-04,2381.8594191192838
2019-09-05,2405.595513445995
2019-09-06,2412.017057326234
2019-09-09,2415.3538698611274
2019-09-10,2409.1032851653367
2019-09-11,2438.7591500324115
2019-09-12,2441.6847821193533
2019-09-13,2441.508021868591
2019-09-16,2451.5527910491965
2019-09-17,2425.5571226758843
2019-09-18,2430.644100979456
2019-09-19,2416.807592800842
2019-09-20,2446.7334726524214
2019-09-23,2432.429558684931
2019-09-24,2423.2835083715995
2019-09-25,2421.8830735991896
2019-09-26,2434.845000428646
2019-09-27,2412.7425172525877
2019-09-30,2425.6864920370044
2019-10-01,2423.4494401872457
2019-10-02,2402.879913813884
